mention	count	valid_range
117 with	22	SUSPECT
14755 athens	22	YES
911 call	22	SUSPECT
209 can	22	SUSPECT
12540 edgewater	22	YES
18900 detroit	22	YES
12000 edgewater	22	YES
125 06	22	SUSPECT
1570 ridgewood	22	YES
18645 detroit	22	YES
12405 franklin	22	YES
214 can	22	SUSPECT
210 and	21	SUSPECT
209 i	21	SUSPECT
211 copies	21	SUSPECT
11837 edgewater	21	YES
205 are	21	SUSPECT
14819 clifton	21	YES
14861 detroit	21	YES
13215 detroit	21	YES
229 we're	20	SUSPECT
215 i'm	20	SUSPECT
143 12	20	SUSPECT
215 i	20	SUSPECT
1450 coutant	20	YES
000 edgewater	20	SUSPECT
205 i'm	20	SUSPECT
12050 lake	20	YES
228 copy	20	SUSPECT
117 detroit	20	SUSPECT
212 we're	20	SUSPECT
202 to	19	SUSPECT
229 copy	19	SUSPECT
14601 detroit	19	YES
16407 detroit	19	YES
18616 detroit	19	YES
212 i	19	SUSPECT
1511 warren	19	YES
12112 madison	19	YES
1365 clarence	19	YES
205 i'll	18	SUSPECT
11849 edgewater	18	YES
202 are	18	SUSPECT
213 can	18	SUSPECT
217 10-7	18	SUSPECT
217 i'm	18	SUSPECT
205 i	18	SUSPECT
211 go	18	SUSPECT
14806 detroit	18	YES
15027 detroit	18	YES
1370 sloan	18	YES
1292 cove	18	YES
14815 madison	18	YES
1375 west	18	YES
2400 madison	18	YES
14013 detroit	18	YES
11720 edgewater	18	YES
4312 detroit	18	SUSPECT
12520 edgewater	18	YES
500 or	18	SUSPECT
160 brown	17	SUSPECT
150 brown	17	SUSPECT
220 to	17	SUSPECT
1369 bunts	17	YES
123 truck	17	SUSPECT
12015 clifton	17	YES
200 brown	17	SUSPECT
1342 beach	17	YES
11868 clifton	17	YES
223 and	17	SUSPECT
117 king	17	SUSPECT
108 and	17	SUSPECT
17540 madison	16	YES
12550 lake	16	YES
2017 ford	16	YES
1345 bunts	16	YES
224 i'm	16	SUSPECT
117 at	16	SUSPECT
205 10-8	16	SUSPECT
2026 chevy	16	YES
299 dock	16	SUSPECT
215 i'll	16	SUSPECT
204 and	16	SUSPECT
13511 detroit	16	YES
270 and	16	SUSPECT
17600 detroit	16	YES
2506 edgewater	16	SUSPECT
15207 madison	16	YES
11732 lake	16	YES
1635 alameda	16	YES
104 i'm	16	SUSPECT
000 000	16	SUSPECT
180 brown	15	SUSPECT
217 i'll	15	SUSPECT
117 on	15	SUSPECT
11706 clifton	15	YES
209 i'll	15	SUSPECT
14740 lakewood	15	YES
16900 detroit	15	YES
219 we're	15	SUSPECT
205 to	15	SUSPECT
15527 madison	15	YES
205 copy	15	SUSPECT
1392 webb	15	YES
117 the	15	SUSPECT
14725 detroit	15	YES
220 10-7	15	SUSPECT
12047 lake	15	YES
107 at	15	SUSPECT
15424 detroit	15	YES
600 000	15	SUSPECT
000 a	15	SUSPECT
000 local	15	SUSPECT
700 000	15	SUSPECT
000 of	15	SUSPECT
217 traffic	14	SUSPECT
229 traffic	14	SUSPECT
218 i	14	SUSPECT
117 i'm	14	SUSPECT
203 to	14	SUSPECT
1242 cove	14	YES
208 i'll	14	SUSPECT
14814 clifton	14	YES
200 black	14	SUSPECT
205 we	14	SUSPECT
222 i'll	14	SUSPECT
14718 madison	14	YES
2010 ford	14	YES
14800 madison	14	YES
14530 clifton	14	YES
16414 madison	14	YES
212 are	14	SUSPECT
2117 glenbury	14	YES
104 it's	14	SUSPECT
1631 newman	13	YES
220 can	13	SUSPECT
1337 kenilworth	13	YES
202 i'm	13	SUSPECT
15412 detroit	13	YES
228 lunch	13	SUSPECT
228 and	13	SUSPECT
215 are	13	SUSPECT
224 can	13	SUSPECT
211 10-8	13	SUSPECT
220 i'll	13	SUSPECT
2012 toyota	13	YES
14115 detroit	13	YES
2013 ford	13	YES
207 can	13	SUSPECT
12020 lake	13	YES
212 copy	13	SUSPECT
224 i	13	SUSPECT
15311 detroit	13	YES
212 copies	13	SUSPECT
212 go	13	SUSPECT
100 and	13	SUSPECT
2012 or	13	YES
299 document	13	SUSPECT
12951 harlan	12	YES
2013 chevy	12	YES
175 brown	12	SUSPECT
1443 newman	12	YES
219 traffic	12	SUSPECT
104 medic	12	SUSPECT
15322 detroit	12	YES
911 hang	12	SUSPECT
221 can	12	SUSPECT
1527 west	12	YES
1510 newman	12	YES
209 10-8	12	SUSPECT
1624 lakeland	12	YES
213 i'm	12	SUSPECT
1475 warren	12	YES
202 you	12	SUSPECT
220 i'm	12	SUSPECT
13202 hazelwood	12	YES
104 for	12	SUSPECT
205 205	12	SUSPECT
2016 chevy	12	YES
13200 madison	12	YES
219 i	12	SUSPECT
206 medic	12	SUSPECT
16803 detroit	12	YES
211 could	12	SUSPECT
205 for	12	SUSPECT
2008 chevy	12	YES
215 10-8	12	SUSPECT
1415 wyandotte	12	YES
202 medic	12	SUSPECT
11800 edgewater	12	YES
13201 madison	12	YES
212 respond	12	SUSPECT
11790 madison	12	YES
104 you	12	SUSPECT
211 to	11	SUSPECT
209 we're	11	SUSPECT
1622 lakewood	11	YES
202 is	11	SUSPECT
17920 detroit	11	YES
226 can	11	SUSPECT
314 medic	11	SUSPECT
211 are	11	SUSPECT
14300 madison	11	YES
216 i'm	11	SUSPECT
15010 madison	11	YES
117 i'll	11	SUSPECT
208 can	11	SUSPECT
18605 detroit	11	YES
219 i'm	11	SUSPECT
2017 toyota	11	YES
219 i'll	11	SUSPECT
218 i'm	11	SUSPECT
2026 kia	11	YES
1343 beach	11	YES
205 medic	11	SUSPECT
2014 black	11	YES
117 north	11	SUSPECT
215 madison	11	SUSPECT
214 go	11	SUSPECT
214 i	11	SUSPECT
2014 toyota	11	YES
15730 madison	11	YES
13437 madison	11	YES
1557 newman	11	YES
100 17	11	SUSPECT
12000 building	11	YES
2011 or	11	YES
1568 waterbury	10	YES
2025 by	10	YES
210 medic	10	SUSPECT
229 i	10	SUSPECT
140 brown	10	SUSPECT
1425 clifton	10	YES
203 we'll	10	SUSPECT
203 may	10	SUSPECT
221 traffic	10	SUSPECT
12030 lake	10	YES
160 black	10	SUSPECT
224 are	10	SUSPECT
209 10-7	10	SUSPECT
216 we're	10	SUSPECT
11900 edgewater	10	YES
203 copy	10	SUSPECT
2018 chevy	10	YES
213 i	10	SUSPECT
2900 lake	10	SUSPECT
2003 22	10	YES
4300 detroit	10	SUSPECT
16408 madison	10	YES
11850 south	10	YES
2011 ford	10	YES
208 are	10	SUSPECT
1385 manor	10	YES
1432 cordova	10	YES
211 on	10	SUSPECT
1293 hall	10	YES
219 go	10	SUSPECT
210 for	10	SUSPECT
16000 detroit	10	YES
11701 clifton	10	YES
220 go	10	SUSPECT
1536 alameda	10	YES
2038 lincoln	10	YES
204 i'm	10	SUSPECT
207 i	10	SUSPECT
13439 clifton	10	YES
2117 glenberry	10	YES
1294 cove	10	YES
299 copy	10	SUSPECT
119 copy	10	SUSPECT
104 do	10	SUSPECT
229 we'll	9	SUSPECT
2015 chevy	9	YES
229 i'll	9	SUSPECT
309 medic	9	SUSPECT
217 we're	9	SUSPECT
12120 madison	9	YES
15615 madison	9	YES
117 it's	9	SUSPECT
135 brown	9	SUSPECT
1820 edgewater	9	YES
2021 honda	9	YES
217 for	9	SUSPECT
221 24	9	SUSPECT
2010 toyota	9	YES
222 traffic	9	SUSPECT
2012 ford	9	YES
14523 madison	9	YES
319 with	9	SUSPECT
205 madison	9	SUSPECT
216 traffic	9	SUSPECT
215 to	9	SUSPECT
12075 lake	9	YES
1269 clifton	9	YES
202 we're	9	SUSPECT
2013 hyundai	9	YES
217 are	9	SUSPECT
219 are	9	SUSPECT
12203 clifton	9	YES
15314 madison	9	YES
16601 madison	9	YES
212 to	9	SUSPECT
14100 detroit	9	YES
229 to	9	SUSPECT
13531 detroit	9	YES
11821 detroit	9	YES
211 is	9	SUSPECT
221 i'll	9	SUSPECT
1314 west	9	YES
212 is	9	SUSPECT
11825 lake	9	YES
203 is	9	SUSPECT
924 medic	9	SUSPECT
2007 18	9	YES
203 you	9	SUSPECT
201 can	9	SUSPECT
2011 toyota	9	YES
1255 west	9	YES
12915 clover	9	YES
2211 arthur	9	YES
2014 ford	9	YES
2020 chevy	9	YES
13029 madison	9	YES
1363 bunts	9	YES
17103 detroit	9	YES
14521 clifton	9	YES
1016 f	9	YES
104 the	9	SUSPECT
211 at	8	SUSPECT
211 will	8	SUSPECT
218 we	8	SUSPECT
2216 eldred	8	YES
229 are	8	SUSPECT
213 traffic	8	SUSPECT
14513 athens	8	YES
213 are	8	SUSPECT
15324 clifton	8	YES
1691 robinwood	8	YES
217 can	8	SUSPECT
170 brown	8	SUSPECT
2001 24	8	YES
2062 robin	8	YES
2000 25	8	YES
208 traffic	8	SUSPECT
225 black	8	SUSPECT
203 are	8	SUSPECT
203 go	8	SUSPECT
222 go	8	SUSPECT
150 black	8	SUSPECT
205 notes	8	SUSPECT
204 can	8	SUSPECT
301 medic	8	SUSPECT
195 brown	8	SUSPECT
2018 ford	8	YES
2024 kia	8	YES
209 could	8	SUSPECT
218 are	8	SUSPECT
209 copy	8	SUSPECT
2026 expires	8	YES
2025 kia	8	YES
211 10-7	8	SUSPECT
2023 black	8	YES
208 i	8	SUSPECT
224 you	8	SUSPECT
2010 black	8	YES
1341 marlow	8	YES
513 medic	8	SUSPECT
000 detroit	8	SUSPECT
212 i'll	8	SUSPECT
1538 west	8	YES
2139 glenberry	8	YES
1450 belle	8	YES
216 are	8	SUSPECT
11801 clifton	8	YES
280 or	8	SUSPECT
12039 edgewater	8	YES
2009 chevy	8	YES
218 i'll	8	SUSPECT
1614 lakewood	8	YES
303 medic	8	SUSPECT
2700 lake	8	SUSPECT
12060 lake	8	YES
205 that	8	SUSPECT
1384 beach	8	YES
301 for	8	SUSPECT
307 for	8	SUSPECT
203 we're	8	SUSPECT
12231 clifton	8	YES
273 and	8	SUSPECT
13751 madison	8	YES
2023 nissan	8	YES
1556 newman	8	YES
214 i'll	8	SUSPECT
215 10-7	8	SUSPECT
117 clifton	8	SUSPECT
14530 madison	8	YES
202 for	8	SUSPECT
200 madison	8	SUSPECT
1514 hopkins	8	YES
15610 madison	8	YES
1438 hopkins	8	YES
1279 andrews	8	YES
208 go	8	SUSPECT
224 respond	8	SUSPECT
2061 carabel	8	YES
1245 hathaway	8	YES
2009 morrison	8	YES
273 go	8	SUSPECT
16915 detroit	8	YES
207 are	8	SUSPECT
1323 lakewood	8	YES
1447 ridgewood	8	YES
11922 madison	8	YES
13437 clifton	8	YES
202 could	8	SUSPECT
13535 detroit	8	YES
1322 sloan	8	YES
225 can	8	SUSPECT
14227 delaware	8	YES
104 in	8	SUSPECT
10107 at	8	SUSPECT
5601 madison	8	SUSPECT
108 with	8	SUSPECT
104 i'll	8	SUSPECT
2511 clifton	8	SUSPECT
15118 detroit	8	YES
210 i'm	7	SUSPECT
220 you	7	SUSPECT
2148 waterbury	7	YES
190 black	7	SUSPECT
202 if	7	SUSPECT
2022 toyota	7	YES
2015 lark	7	YES
180 black	7	SUSPECT
2012 black	7	YES
2006 toyota	7	YES
1385 riverside	7	YES
224 10-8	7	SUSPECT
205 he's	7	SUSPECT
11843 edgewater	7	YES
1450 west	7	YES
2024 ford	7	YES
203 on	7	SUSPECT
209 go	7	SUSPECT
216 we'll	7	SUSPECT
11904 detroit	7	YES
211 10-4	7	SUSPECT
216 can	7	SUSPECT
103 for	7	SUSPECT
2013 kia	7	YES
221 i'm	7	SUSPECT
222 i'm	7	SUSPECT
908 medic	7	SUSPECT
1016 c	7	YES
205 you	7	SUSPECT
2011 chevy	7	YES
924 for	7	SUSPECT
117 that's	7	SUSPECT
117 i	7	SUSPECT
2019 black	7	YES
201 we're	7	SUSPECT
117 medic	7	SUSPECT
2005 chevy	7	YES
11851 detroit	7	YES
1492 ridgewood	7	YES
17315 madison	7	YES
2022 white	7	YES
203 medic	7	SUSPECT
221 the	7	SUSPECT
214 i'm	7	SUSPECT
2015 toyota	7	YES
2012 nissan	7	YES
219 for	7	SUSPECT
14615 detroit	7	YES
13123 detroit	7	YES
13728 madison	7	YES
1438 winchester	7	YES
12215 clifton	7	YES
2200 lewis	7	YES
12543 clifton	7	YES
502 medic	7	SUSPECT
1026 medic	7	YES
2016 ford	7	YES
1634 winchester	7	YES
12500 detroit	7	YES
609 medic	7	SUSPECT
220 traffic	7	SUSPECT
203 if	7	SUSPECT
211 do	7	SUSPECT
229 go	7	SUSPECT
2008 18	7	YES
1549 rockway	7	YES
2019 lake	7	YES
119 22	7	SUSPECT
1615 warren	7	YES
2016 white	7	YES
2018 blue	7	YES
118 20	7	SUSPECT
1347 belle	7	YES
213 10-8	7	SUSPECT
219 to	7	SUSPECT
2230 lincoln	7	YES
270 is	7	SUSPECT
12026 clifton	7	YES
207 to	7	SUSPECT
1600 newman	7	YES
205 go	7	SUSPECT
11711 lake	7	YES
1272 warren	7	YES
2112 northland	7	YES
1361 phelps	7	YES
1580 lauderdale	7	YES
1481 st	7	YES
1659 rosewood	7	YES
212 could	7	SUSPECT
1508 lauderdale	7	YES
1298 edwards	7	YES
2020 honda	7	YES
1670 lauderdale	7	YES
12102 madison	7	YES
116 with	7	SUSPECT
2017 silver	7	YES
104 just	7	SUSPECT
16934 detroit	7	YES
1586 coutant	7	YES
1415 clearance	7	YES
1990 35	7	YES
2020 '6	7	YES
107 on	7	SUSPECT
000 miles	7	SUSPECT
218 we'll	6	SUSPECT
217 dl	6	SUSPECT
2024 honda	6	YES
190 brown	6	SUSPECT
1231 of	6	YES
202 we'll	6	SUSPECT
18120 sloan	6	YES
273 traffic	6	SUSPECT
14710 lake	6	YES
306 medic	6	SUSPECT
1277 code	6	YES
506 medic	6	SUSPECT
115 of	6	SUSPECT
11713 lake	6	YES
202 did	6	SUSPECT
2117 halstead	6	YES
1274 idlewood	6	YES
202 on	6	SUSPECT
2017 red	6	YES
100 sure	6	SUSPECT
203 he's	6	SUSPECT
226 i'm	6	SUSPECT
2018 black	6	YES
209 are	6	SUSPECT
2015 nissan	6	YES
205 check	6	SUSPECT
2024 volkswagen	6	YES
212 10-7	6	SUSPECT
122 23	6	SUSPECT
229 you	6	SUSPECT
321 and	6	SUSPECT
201 for	6	SUSPECT
215 go	6	SUSPECT
721 medic	6	SUSPECT
221 10-7	6	SUSPECT
13340 madison	6	YES
1325 lakeland	6	YES
2015 ford	6	YES
221 to	6	SUSPECT
120 15	6	SUSPECT
1374 west	6	YES
2018 jeep	6	YES
205 back	6	SUSPECT
1850 edgewater	6	YES
175 000	6	SUSPECT
000 points	6	SUSPECT
220 brown	6	SUSPECT
2007 honda	6	YES
228 i'm	6	SUSPECT
12002 lake	6	YES
131 23	6	SUSPECT
321 i	6	SUSPECT
165 brown	6	SUSPECT
250 black	6	SUSPECT
2050 brown	6	YES
219 copy	6	SUSPECT
2021 black	6	YES
2022 chevy	6	YES
1311 bonnyview	6	YES
1227 cranford	6	YES
2015 chrysler	6	YES
205 10-7	6	SUSPECT
206 i	6	SUSPECT
212 will	6	SUSPECT
118 25	6	SUSPECT
1431 to	6	YES
224 traffic	6	SUSPECT
2149 brown	6	YES
1513 waterbury	6	YES
2002 23	6	YES
1522 west	6	YES
202 copy	6	SUSPECT
101 for	6	SUSPECT
101 medic	6	SUSPECT
2024 black	6	YES
105 for	6	SUSPECT
211 the	6	SUSPECT
1615 newman	6	YES
14321 detroit	6	YES
1229 cranford	6	YES
270 can	6	SUSPECT
201 i'm	6	SUSPECT
142 27	6	SUSPECT
12505 edgewater	6	YES
2020 jeep	6	YES
1365 clearance	6	YES
2013 white	6	YES
116 king	6	SUSPECT
202 do	6	SUSPECT
229 we	6	SUSPECT
1232 hall	6	YES
2016 nissan	6	YES
2020 white	6	YES
14032 lakewood	6	YES
2002 clarence	6	YES
1685 lincoln	6	YES
520 medic	6	SUSPECT
14221 madison	6	YES
2020 kia	6	YES
2198 lewis	6	YES
298 copy	6	SUSPECT
11850 at	6	YES
204 we're	6	SUSPECT
13100 madison	6	YES
203 for	6	SUSPECT
1548 west	6	YES
300 detroit	6	SUSPECT
1633 hopkins	6	YES
11822 detroit	6	YES
2003 chevy	6	YES
214 are	6	SUSPECT
15325 lake	6	YES
16802 delaware	6	YES
1375 bunts	6	YES
511 medic	6	SUSPECT
2013 honda	6	YES
11709 lake	6	YES
11709 madison	6	YES
1656 wagar	6	YES
212 on	6	SUSPECT
2026 35	6	YES
18414 detroit	6	YES
2113 brown	6	YES
215 we're	6	SUSPECT
2026 no	6	YES
16725 lake	6	YES
908 for	6	SUSPECT
215 vehicle	6	SUSPECT
2033 chesterland	6	YES
1519 lakeland	6	YES
11738 lake	6	YES
18514 detroit	6	YES
218 copy	6	SUSPECT
2022 black	6	YES
12200 madison	6	YES
1253 granger	6	YES
213 go	6	SUSPECT
214 212	6	SUSPECT
2015 jeep	6	YES
207 i'll	6	SUSPECT
15501 detroit	6	YES
2075 clarence	6	YES
2020 gray	6	YES
1341 lakeland	6	YES
207 we're	6	SUSPECT
16910 detroit	6	YES
227 respond	6	SUSPECT
2148 northland	6	YES
12806 madison	6	YES
108 for	6	SUSPECT
206 the	6	SUSPECT
13000 athens	6	YES
1414 elber	6	YES
207 i'm	6	SUSPECT
2012 chevy	6	YES
1591 riverside	6	YES
219 could	6	SUSPECT
207 will	6	SUSPECT
1352 kenilworth	6	YES
1421 waterbury	6	YES
2147 mckinley	6	YES
2010 honda	6	YES
512 medic	6	SUSPECT
406 medic	6	SUSPECT
1312 sloan	6	YES
12701 plover	6	YES
208 could	6	SUSPECT
117 they	6	SUSPECT
2014 chevy	6	YES
1441 alameda	6	YES
108 i'll	6	SUSPECT
2017 arthur	6	YES
2023 robin	6	YES
1289 brockley	6	YES
12202 clifton	6	YES
901 call	6	SUSPECT
2015 black	6	YES
2022 lincoln	6	YES
159 copy	6	SUSPECT
108 can	6	SUSPECT
4401 detroit	6	SUSPECT
2650 detroit	6	SUSPECT
11823 detroit	6	YES
100 '17	6	SUSPECT
17526 madison	6	YES
4306 detroit	6	SUSPECT
429 you	6	SUSPECT
128 copy	6	SUSPECT
2006 19	6	YES
104 she	6	SUSPECT
148 copy	6	SUSPECT
12227 clifton	6	YES
2117 halsted	6	YES
11843 lake	6	YES
240 brown	5	SUSPECT
1655 elmwood	5	YES
217 if	5	SUSPECT
202 respond	5	SUSPECT
217 to	5	SUSPECT
218 radio	5	SUSPECT
209 you	5	SUSPECT
329 we're	5	SUSPECT
840 medic	5	SUSPECT
1466 winchester	5	YES
272 i	5	SUSPECT
249 i	5	SUSPECT
1450 parkwood	5	YES
220 of	5	SUSPECT
282 i'm	5	SUSPECT
2005 honda	5	YES
220 could	5	SUSPECT
2014 honda	5	YES
118 49	5	SUSPECT
215 on	5	SUSPECT
210 i	5	SUSPECT
1594 alameda	5	YES
618 medic	5	SUSPECT
2010 chevy	5	YES
1559 lakeland	5	YES
230 brown	5	SUSPECT
1344 beach	5	YES
130 brown	5	SUSPECT
185 brown	5	SUSPECT
12220 madison	5	YES
2018 dodge	5	YES
1382 cove	5	YES
2016 toyota	5	YES
206 i'm	5	SUSPECT
202 kufner	5	SUSPECT
11906 madison	5	YES
2018 honda	5	YES
1545 coutant	5	YES
18515 detroit	5	YES
12530 lake	5	YES
2017 gray	5	YES
165 black	5	SUSPECT
12905 madison	5	YES
2018 subaru	5	YES
2026 44	5	YES
11801 lake	5	YES
203 did	5	SUSPECT
2018 gray	5	YES
2017 hyundai	5	YES
2010 nissan	5	YES
205 he	5	SUSPECT
2020 nissan	5	YES
224 we're	5	SUSPECT
224 on	5	SUSPECT
216 we	5	SUSPECT
216 10-4	5	SUSPECT
629 and	5	SUSPECT
216 i	5	SUSPECT
12405 detroit	5	YES
205 at	5	SUSPECT
211 disregard	5	SUSPECT
1621 medic	5	YES
251 can	5	SUSPECT
18240 detroit	5	YES
15607 detroit	5	YES
227 i'm	5	SUSPECT
13306 detroit	5	YES
2012 honda	5	YES
2008 honda	5	YES
1308 ramona	5	YES
228 are	5	SUSPECT
222 i	5	SUSPECT
14312 apartment	5	YES
2016 honda	5	YES
223 i'm	5	SUSPECT
2023 toyota	5	YES
14837 detroit	5	YES
2026 honda	5	YES
200 in	5	SUSPECT
140 black	5	SUSPECT
103 medic	5	SUSPECT
1503 cohasset	5	YES
2050 lake	5	YES
205 no	5	SUSPECT
205 it's	5	SUSPECT
205 the	5	SUSPECT
129 43	5	SUSPECT
119 with	5	SUSPECT
1577 newman	5	YES
14909 clifton	5	YES
2026 43	5	YES
11841 lake	5	YES
209 to	5	SUSPECT
2009 toyota	5	YES
1610 ridgewood	5	YES
2016 jeep	5	YES
208 i'm	5	SUSPECT
1470 victoria	5	YES
1045 parkside	5	YES
703 medic	5	SUSPECT
118 01	5	SUSPECT
15500 detroit	5	YES
14534 madison	5	YES
1498 west	5	YES
12021 edgewater	5	YES
2016 black	5	YES
2013 toyota	5	YES
13395 madison	5	YES
11900 detroit	5	YES
15111 detroit	5	YES
222 copy	5	SUSPECT
11835 clifton	5	YES
1687 robinwood	5	YES
203 10-7	5	SUSPECT
145 black	5	SUSPECT
11820 lake	5	YES
14808 lake	5	YES
417 you	5	SUSPECT
214 if	5	SUSPECT
15707 detroit	5	YES
210 can	5	SUSPECT
703 for	5	SUSPECT
2024 chevy	5	YES
1346 go	5	YES
2020 hyundai	5	YES
1391 warren	5	YES
204 is	5	SUSPECT
314 for	5	SUSPECT
118 50	5	SUSPECT
216 go	5	SUSPECT
2018 white	5	YES
13322 madison	5	YES
2058 robin	5	YES
1423 riverside	5	YES
520 for	5	SUSPECT
203 do	5	SUSPECT
508 medic	5	SUSPECT
1218 gladys	5	YES
218 you	5	SUSPECT
204 to	5	SUSPECT
2019 hyundai	5	YES
2014 subaru	5	YES
214 to	5	SUSPECT
1285 hall	5	YES
2016 gray	5	YES
219 we'll	5	SUSPECT
208 is	5	SUSPECT
13740 madison	5	YES
16711 lake	5	YES
2019 jeep	5	YES
205 we'll	5	SUSPECT
1502 lakeland	5	YES
1481 wyandotte	5	YES
14100 franklin	5	YES
2030 robin	5	YES
201 i'll	5	SUSPECT
117 john	5	SUSPECT
3330 detroit	5	SUSPECT
1630 west	5	YES
224 in	5	SUSPECT
401 for	5	SUSPECT
2017 kia	5	YES
2023 chevy	5	YES
214 14	5	SUSPECT
11821 davis	5	YES
13229 madison	5	YES
12228 clifton	5	YES
1209 clifton	5	YES
214 19	5	SUSPECT
1349 marlowe	5	YES
17625 detroit	5	YES
1414 grace	5	YES
106 female	5	SUSPECT
18101 clifton	5	YES
1518 woodward	5	YES
1855 edgewater	5	YES
1625 alameda	5	YES
130 medic	5	SUSPECT
321 of	5	SUSPECT
2200 atkins	5	YES
2006 ford	5	YES
217 at	5	SUSPECT
601 medic	5	SUSPECT
1170 french	5	YES
118 55	5	SUSPECT
280 on	5	SUSPECT
212 you	5	SUSPECT
18725 detroit	5	YES
220 is	5	SUSPECT
1636 elmwood	5	YES
117 he	5	SUSPECT
17033 madison	5	YES
1251 marlowe	5	YES
1652 lincoln	5	YES
11715 nelson	5	YES
108 i	5	SUSPECT
18520 detroit	5	YES
130 black	5	SUSPECT
15914 lakewood	5	YES
845 beach	5	SUSPECT
2038 mcgee	5	YES
13405 madison	5	YES
1418 wyandotte	5	YES
13520 elber	5	YES
225 i	5	SUSPECT
224 is	5	SUSPECT
2367 woodward	5	YES
2023 hyundai	5	YES
211 respond	5	SUSPECT
16401 delaware	5	YES
212 check	5	SUSPECT
1226 ramona	5	YES
112 with	5	SUSPECT
3900 detroit	5	SUSPECT
17469 clifton	5	YES
1446 medic	5	YES
2021 gray	5	YES
212 19	5	SUSPECT
212 12	5	SUSPECT
408 medic	5	SUSPECT
1382 beach	5	YES
18101 detroit	5	YES
1470 warren	5	YES
2012 gmc	5	YES
1433 male	5	YES
13705 madison	5	YES
1388 riverside	5	YES
1321 matthews	5	YES
511 of	5	SUSPECT
228 respond	5	SUSPECT
205 is	5	SUSPECT
208 will	5	SUSPECT
1303 cove	5	YES
2275 warren	5	YES
1331 lakewood	5	YES
1374 geel	5	YES
204 i	5	SUSPECT
207 respond	5	SUSPECT
1689 bunts	5	YES
204 are	5	SUSPECT
12525 lake	5	YES
104 he's	5	SUSPECT
1615 waterbury	5	YES
13509 detroit	5	YES
226 i	5	SUSPECT
211 medic	5	SUSPECT
1612 newman	5	YES
14235 madison	5	YES
2021 toyota	5	YES
13114 detroit	5	YES
1417 male	5	YES
13389 madison	5	YES
220 vehicle	5	SUSPECT
104 it	5	SUSPECT
104 yeah	5	SUSPECT
1622 winchester	5	YES
104 25	5	SUSPECT
911 and	5	SUSPECT
1998 27	5	YES
20375 center	5	SUSPECT
17460 clifton	5	YES
2026 the	5	YES
104 15	5	SUSPECT
1016 on	5	YES
