fourgram	count
the last 6 of	76
medic 1's back in	76
i'll get you a	76
back in service patient	76
me back in service	76
will be 10 8	76
i'm trying to get	75
medic 2's en route	75
see if i can	75
get you a plate	74
dispatch medic 3's en	74
medic 2 is out	74
to the front counter	74
a valid id card	74
do you want me	74
i go on the	73
to be en route	73
1 medic 2 medic	72
are going to be	72
can you head to	72
get a report number	72
go ahead can you	72
be in the area	71
side of the building	71
medic 3 truck 1	70
the back of the	70
engine 3 is in	70
1 is out of	70
to go ahead and	70
the lunch list please	70
white male wearing a	70
driving due to emergency	70
going to be the	69
a black male wearing	69
all set we'll be	69
going to be en	69
to be out of	69
respond to the westerly	69
go ahead and confirm	69
sent you a message	69
medic one's back in	69
trying to get further	68
can you get him	68
to get a hold	68
on a public service	68
on the phone with	68
i'll take that for	68
en route back to	68
for a fire alarm	68
year old male he	67
out with a male	67
will be in service	67
2's back in service	67
if you can find	67
3 is transporting to	67
i copy i'll be	67
this is going to	67
a white male wearing	67
valid id card no	67
if you can just	67
route back to the	67
medic 2 is on	67
car 2 and engine	66
speak to an officer	66
is transporting to fairview	66
black male wearing a	66
a phone number for	66
you respond to the	66
don't know if you	66
i get a report	66
copy 24 i'm closer	65
can i go on	65
on the east side	65
medic 1's on scene	65
dispatch medic 3 en	65
go to the hospital	65
should be all set	65
you could just add	65
go on the list	64
let me know if	64
year old female with	64
traffic 24 i'm closer	64
be in front of	64
is in service returning	64
be out with the	64
in and out of	64
does not have a	64
you can show us	63
failure to appear for	63
added to the list	63
3's en route to	63
to speak to an	63
be 19 with this	63
we're en route to	63
on the north side	63
3 en route to	63
dispatch medic 3 we're	63
i can get them	63
that's going to be	62
car 2's en route	62
fire ground on arrival	62
medic 2 is transporting	62
do you have the	62
i don't need that	62
can show me out	61
last 6 of the	61
we're back in the	61
the north side of	61
black and brown valid	61
year old male having	61
a male and female	61
year old female she	61
we'll be 10 8	61
can you try to	60
you can go i	60
be out in a	60
to be out with	60
valid id no wants	60
you a plate in	60
can i be added	60
going to be 10-8	60
said there was a	60
okay we'll be 10-8	60
kufner has that vehicle	60
gonna be in service	60
a plate in a	59
medic 1 will be	59
checks okay we'll be	59
27 year old male	59
15 i'll be out	59
medic 1's out of	59
year old female that	59
medic 1 to the	59
in the back of	59
this is a test	59
go ahead i'll be	59
can go i copy	58
for failure to appear	58
medic 2's back in	58
medic 3's in service	58
there was no answer	58
a name and date	58
i'm on my way	58
i'll be standing by	58
from medic 3 we're	58
they're all set here	58
you put me out	58
companies medic 2 respond	58
we'll be 10-8 10-4	58
2 is out of	57
be out with him	57
the parking lot of	57
going to go ahead	57
check the welfare of	57
1 is going to	57
switch to fire ground	57
to fire ground on	57
id card no wants	57
dispatch medic 2 medic	57
medic 3 to the	57
don't need that back	57
gonna be out of	57
medic one's out of	57
i'm going to have	56
advised of the complaint	56
can you repeat that	56
car 2 respond to	56
can you have the	56
30 year old male	56
we spoke with the	56
3 is out at	56
i'm so sorry i'm	56
so sorry i'm so	56
sorry i'm so sorry	56
dispatch medic one's on	56
prior to our arrival	55
we're going to have	55
brown brown valid no	55
2 medic 3 truck	55
car 2's on scene	55
going to be 19	55
can i have the	55
car 2 and truck	55
in the area checking	55
and i'll be 10-8	55
3 is going to	55
year old male 6	55
from medic 3 medic	55
transporting a female to	55
10-4 10-4 10-4 10-4	55
we'll be out investigating	54
you can just add	54
26 year old male	54
medic 1's in service	54
29 year old male	54
can you go to	54
2 is going to	54
can you start a	54
medic 1 i copy	54
let you know if	54
for an alarm showing	54
there's a white male	54
you can send me	53
for a little bit	53
blue valid no wants	53
with him in a	53
dispatch medic 3's on	53
dispatch medic 3's out	53
medic 3's out of	53
too close to the	53
medic 1 truck 1	53
no need for ems	53
is transporting to lakewood	53
it should be a	53
male date of birth	53
can go ahead and	53
is a test this	53
a test this is	53
test this is a	53
be 10 8 and	53
25 year old male	52
going to go to	52
be out with that	52
complainant said there's a	52
36 year old male	52
if you could start	52
we spoke to the	52
medic 3 on scene	52
do we have a	52
can you hear me	52
35 year old male	52
the westerly 14312 detroit	52
it comes back to	51
parked too close to	51
a welfare check on	51
medic 3 is taking	51
i'll be 10-8 10-4	51
a female to fairview	51
one's back in service	51
year old male 05	51
he said he was	50
was able to get	50
can you start kufner	50
6 of the vin	50
out of cleveland on	50
make contact with the	50
you see if you	50
be 10-8 from here	50
a serial number on	50
there's a black male	50
should be on a	50
2 truck 1 respond	50
2's en route to	50
to be out at	50
the east side of	50
we'll be out with	50
2 respond to the	50
medic 2 truck 1	50
3 we're back in	50
year old male with	50
i had a note	50
name is gonna be	50
to the list please	49
on the west side	49
2 and engine 3	49
car 2 from engine	49
to the lunch list	49
a hold of the	49
1 is on scene	49
1's back in the	49
set we'll be 10-8	49
we'll be out at	49
add it to the	49
me a report number	49
on the south side	49
in service patient refused	49
medic 3 we're back	49
if you could check	49
it's gonna be a	49
see if we can	48
a valid id no	48
you can go back	48
i'm closer you can	48
19 with this male	48
be all set here	48
for armed and dangerous	48
can you give us	48
do you want to	48
year old male has	48
all companies switch to	48
medic 1 is on	48
i'll be 10-8 from	48
is en route from	48
he's going to be	47
i'm just going to	47
just south of detroit	47
be under arrest for	47
medic 3 in service	47
i'll be on the	47
is out of lakewood	47
brown and brown valid	47
front of the building	47
2 and engine 2	47
going to be at	47
engine 3 and medic	47
year old male suspended	47
34 year old male	47
33 year old male	47
we can take that	46
you send me the	46
west side of the	46
i'm going to head	46
you just want to	46
go back in service	46
closer you can go	46
we were able to	46
i'll be 10-8 and	46
1 medic 1's out	46
23 year old male	46
i spoke with the	46
40 year old male	46
you give me the	46
we'll take that call	46
like to speak with	46
respond to the area	46
and if you could	46
if you could please	46
2 is gonna be	46
the west side of	45
the back parking lot	45
1's back in service	45
can you check in	45
can you copy a	45
you try to find	45
car 2 from dispatch	45
1's en route to	45
east side of the	45
find a phone number	45
never had a license	45
taking one to fairview	45
put me on the	45
can you add a	45
vehicle we'll be 10-8	45
owner of the vehicle	44
3 and truck 1	44
you can go i'm	44
i copy from the	44
needs a lift assist	44
1 is in service	44
try to find an	44
3 and medic 3	44
be in service returning	44
going to have to	44
28 year old male	44
gonna be back in	44
can return to service	44
the front of the	44
to the premise file	44
name date of birth	44
just so you know	44
engine 3 respond to	44
is on the scene	44
the owner of that	44
32 year old male	43
37 year old male	43
i copy you can	43
route to the jail	43
25 year old female	43
year old male that	43
to an officer about	43
medic 2's on scene	43
i was able to	43
that comes back to	43
en route from station	43
you check in front	43
if no one's closer	43
car 2 is in	43
2 engine 2 medic	43
for a welfare check	43
you run a plate	43
i get the last	43
to the property room	43
19 to the property	43
right in front of	43
i'm gonna be out	43
engine 3 is on	43
medic 2 is in	43
i can head to	42
he has a valid	42
2's going to be	42
dispatch medic 2's en	42
21 year old male	42
can i have a	42
going to be transporting	42
they're going to be	42
1 is transporting a	42
you guys could check	42
said that there's a	42
me on a public	42
put me out at	42
the rest of the	42
2 medic 2 en	42
engine 2 car 2	42
for a white male	42
set we're all set	42
dispatch medic one's en	42
engine 3 car 2	41
of the post office	41
be out with king	41
was quiet on arrival	41
north side of the	41
are you guys still	41
65 year old male	41
back in service this	41
serial number on a	41
able to get a	41
companies switch to fire	41
male wearing a black	41
route to fairview hospital	41
engine 3 and car	41
3 and car 2	41
medic one's in service	41
22 year old male	40
28 year old female	40
to the jail with	40
i can get a	40
3 truck 1 respond	40
2 from engine 3	40
truck 1 and car	40
of cleveland on a	40
just north of madison	40
out of the car	40
do we have any	40
everything checks okay we'll	40
are you guys set	40
you guys go to	40
31 year old male	40
is valid no wants	40
engine 3 will be	40
can take that call	40
on the list please	40
i didn't know it's	40
old male 6 foot	40
you need me to	40
year old male 5	40
front of the post	39
was advised of the	39
the wrong side of	39
wrong side of the	39
copy from the station	39
27 year old female	39
dispatch from station 1	39
1 medic 1's back	39
speak with an officer	39
back to the station	39
medic 1 is going	39
you want us to	39
him in a second	39
check the area of	39
24 year old male	39
can you start heading	39
here in a minute	39
3 medic 1 2	39
gonna be out with	39
one's en route to	39
1 medic one's out	39
38 year old male	38
year old female who	38
on the wrong side	38
car 2's in service	38
change the address to	38
vehicle i'll be 10-8	38
do you know if	38
do you need me	38
with a separate and	38
medic 3 engine 3	38
been able to get	38
i should be all	38
route from station 1	38
29 i'll be out	38
1 medic 2 truck	38
be en route with	38
id card is valid	38
run a serial number	38
to get ahold of	38
medic 3 is going	38
you can disregard the	38
year old female fell	38
year old male fell	38
complainant said that a	38
we'll be 10-8 with	37
side of the road	37
from medic 1 we're	37
medic 3's out at	37
is out of the	37
a protection order against	37
37 year old female	37
to be in the	37
be coming in for	37
truck 1 en route	37
go ahead and close	37
17 i'll be out	37
show me back in	37
if you just want	37
in the property room	37
truck 1 car 8	37
and we'll be 10-8	37
the haven 1341 marlowe	37
2 is transporting to	37
year old female 5	37
sam do you copy	37
do you copy sam	37
1 medic one's back	37
i'm going to call	36
the side of the	36
add him to the	36
copy you can go	36
be with him in	36
57 year old male	36
contact with the owner	36
i'm in the area	36
18 year old female	36
go ahead 24 i'm	36
ahead 24 i'm closer	36
dispatch medic 3's in	36
to speak with an	36
do a welfare check	36
year old male is	36
has an active permit	36
and i can head	36
i'm close i'm close	36
can you check around	36
dispatch medic 1 en	36
medic 1 is in	36
black brown valid no	36
24 year old female	36
the south side of	36
2 from engine 2	36
41 year old male	36
to speak with you	36
we're going to head	36
is taking one to	36
the westerly 14306 detroit	36
at the front counter	36
medic 2 on scene	36
you give us a	36
in the back parking	36
medic 1 on scene	36
medic 1 go ahead	36
36 year old female	36
attention medic 3 respond	36
pc for the stop	36
number and time for	36
all set we're all	36
you copy sam do	36
copy sam do you	36
male valid no 1	36
26 year old female	35
on the side of	35
going to try to	35
we have both copies	35
i'm going to give	35
show me out at	35
34 year old female	35
on the second floor	35
transporting a male to	35
i just want to	35
in service this is	35
23 year old female	35
3 back in service	35
to be 19 with	35
back in service medic	35
is out we'll be	35
issue me a report	35
and hit her head	35
i spoke to the	35
be en route back	35
3 is out on	35
a mental health consumer	35
you run a serial	35
a number and time	35
just south of madison	35
and truck 1 are	35
she's valid no 1	35
can you repeat the	34
it was quiet on	34
to speak to you	34
car 2 go ahead	34
check in the area	34
in service patient was	34
2 are back in	34
a male in a	34
on the 3rd floor	34
do you guys need	34
give you a call	34
to find an obt	34
year old female said	34
in service we'll take	34
i'm not going to	34
1 from car 2	34
can you check at	34
he said that he	34
the name of the	34
can you check for	34
117th in front of	34
he does not have	34
going to be for	34
there's a group of	34
for medic 3 medic	34
out of the city	34
get the last 6	34
be out in the	34
all companies engine 3	34
report number and time	34
dispatch to medic 2	34
could you go to	34
19 to the jail	34
attention all companies engine	34
truck one's en route	34
one's out of fairview	34
he's valid no 1	34
lakeshore towers 12506 edgewater	33
car 2 is out	33
you show me out	33
way we'll be 10-8	33
going to be king	33
me know if you	33
and car 2 are	33
we'll be in service	33
can go back in	33
not sure if it's	33
i don't see any	33
got a hold of	33
armed and dangerous violent	33
1 medic 1's transporting	33
medic 1's transporting a	33
get you another car	33
male and female arguing	33
on scene switching to	33
scene switching to fire	33
is out at fairview	33
unable to make contact	33
going to head over	33
of the parking lot	33
medic 3 i copy	33
parking lot of the	33
to stand by while	33
welfare check on a	33
said there's a male	33
copy that thank you	33
when you get a	33
and see if they	33
you start heading to	33
to give me a	33
is out at lakewood	33
i get a number	33
to the haven 1341	33
and we're going to	33
i'll have a separate	33
2 back in service	33
medic 3 is arriving	33
truck 1 will be	33
is conscious and breathing	33
car 2 is en	33
go ahead i'm going	33
ahead i'm going to	33
year old female 05	33
19 year old male	32
20 year old male	32
medic 2's going to	32
engine 3 truck 1	32
can you have a	32
you in a second	32
what's the last 6	32
dispatch engine 3 is	32
medic 1 in service	32
spoke with the owner	32
have a phone number	32
69 year old female	32
unable to get up	32
i'll get you the	32
30 year old female	32
3 we're en route	32
can head over to	32
out of cleveland it's	32
needs to go to	32
can you call me	32
can you tell me	32
gonna be en route	32
be there in a	32
engine 2 is on	32
medic 2 is going	32
the rear of the	32
i can head there	32
she has a valid	32
was not driving due	32
engine 2 and car	32
all companies engine 2	32
51 year old male	32
attention medic 1 respond	32
a male in the	32
to go back to	32
to the westerly 14312	32
you can show medic	32
would like us to	32
i copy 24 i'm	31
and truck 1 respond	31
they're all set i'll	31
added to the detail	31
year old male said	31
1's going to be	31
18 year old male	31
has an expired permit	31
29 year old female	31
has a protection order	31
was no answer at	31
i'll give you a	31
we're going to go	31
to get out of	31
medic 3 back in	31
dispatch medic 2's on	31
i can head over	31
can you just add	31
a male on the	31
if i can get	31
39 year old male	31
2 and medic 2	31
to head over to	31
you know if i	31
phone number for the	31
i'll be clear from	31
in the back lot	31
you show me on	31
got a call from	31
medic 1's out at	31
46 year old male	31
you get a chance	31
should be a white	31
a report number and	31
the berkshire 11820 edgewater	31
service we'll take that	31
go to fire ground	31
and blue valid no	31
at the bus stop	31
en route to county	31
it was just a	31
31 year old female	31
let me know when	31
have a report number	31
2 and car 2	31
43 year old male	31
year old female has	31
to the westerly 14306	31
there's no answer at	31
engine 3 go ahead	31
at the high school	31
not sure if he's	31
going to call you	31
owner of that vehicle	31
on the lunch list	31
medic 1 you can	31
middle of the street	31
dispatch from engine 2	31
complainant said that there's	31
1 is gonna be	31
one's back in the	31
check-in the area of	31
55 year old male	30
i'll try to get	30
put me on a	30
going to head to	30
you see if there's	30
1 will be in	30
ennis court 13315 detroit	30
all set i'm 10-8	30
29 i'm all set	30
we'll be 10-8 and	30
trying to get a	30
i'm sorry can you	30
out of cleveland heights	30
and dangerous violent tendencies	30
find an obt for	30
engine 2 truck 1	30
i'm a little closer	30
me a 21 please	30
dispatch medic 3's back	30
1 to the westerly	30
route to lakewood er	30
it to the detail	30
2 from car 2	30
just let me know	30
middle of the road	30
52 year old male	30
engine 2 and medic	30
if you could send	30
like us to check	30
i'm en route to	30
and i will be	30
74 year old male	30
you head to the	30
be able to get	30
out in a second	30
it looks like it	30
for the stop was	30
3 is arriving at	30
medic 1 can you	30
we're gonna be in	30
be 19 with that	29
if we can get	29
i'm going to check	29
valid no wants break	29
parked on the wrong	29
39 year old female	29
said it was a	29
29 you can disregard	29
not going to be	29
she said it was	29
i'll head over to	29
out of the vehicle	29
i can get her	29
just north of detroit	29
respond to this location	29
just so you're aware	29
looks like there's a	29
is arriving at fairview	29
copy i'll be out	29
want to make sure	29
i don't need a	29
71 year old male	29
it looks like it's	29
24 i'll be out	29
medic 3 we're en	29
dispatch medic 2's back	29
i'll be checking the	29
notes we'll be 10-8	29
3 is taking one	29
know if i need	29
and there was no	29
is all set i'll	29
you check for a	29
35 year old female	29
do you have any	29
can you assist the	29
to see if we	29
see if we have	29
if i can find	29
back of the building	29
have a name and	29
33 year old female	29
engine 2 medic 1	29
show me on a	29
for a male that	29
64 year old male	29
is taking 1 to	29
having a hard time	29
gonna be for a	29
72 year old female	29
engine 2 respond to	29
is out at the	29
parked on the street	29
engine 2 is out	29
dispatch to car 2	29
a 2 car mva	29
2 is out at	28
he said it was	28
just south of franklin	28
close to the driveway	28
in service no need	28
service no need for	28
medic 1 do you	28
sent on his way	28
medic 1 from dispatch	28
a hold of her	28
i'll get you another	28
detroit in front of	28
you guys can disregard	28
i was unable to	28
in a no parking	28
we'll be 10-8 from	28
just a little bit	28
date of birth for	28
dispatch to all companies	28
the area of the	28
in the city back	28
city back in service	28
there was a male	28
she said that she	28
can you speak to	28
on scene we'll be	28
with this female starting	28
all set here i'll	28
set here i'll be	28
i'm going to die	28
en route with this	28
i'm back in the	28
keep an eye out	28
i'm all set here	28
male wearing all black	28
i have a report	28
i don't see anything	28
in the city and	28
failure to appear on	28
2026 see dealer for	28
go ahead we'll be	28
if you could try	28
set i'll be 10	28
north of madison with	28
i'm not a kid	28
attention i'm at attention	28
i'm at attention i'm	28
valid no wants copy	28
it's gonna be for	28
1 medic one's transporting	28
what kind of car	27
out with a female	27
you can put me	27
on scene we have	27
the area we'll be	27
if you guys can	27
2 engine 3 truck	27
dispatch medic 1's en	27
car 2's are out	27
are out of the	27
i copy can you	27
was a verbal argument	27
no need for transport	27
a lift assist only	27
a male to fairview	27
i'm going to stop	27
investigating all companies switch	27
it's a good thing	27
can you guys check	27
going to be john	27
1 medic 1's en	27
kufner has the vehicle	27
called back and said	27
to my car please	27
for a female that	27
trying to make contact	27
you can go 10-4	27
the city back in	27
42 year old male	27
16 i'll be out	27
just south of clifton	27
i added some notes	27
62 year old male	27
all set all set	27
fell and hit her	27
3's out of fairview	27
70 year old male	27
see if they can	27
going to stand by	27
all companies go to	27
be out with john	27
meet you in the	27
a general fire alarm	27
be out with her	27
be here for a	27
48 year old male	27
dispatch you can show	27
service patient refused transport	27
year old female is	27
50 year old female	27
get in contact with	27
nothing showing we'll be	27
en route as well	27
we've got the we've	27
got the we've got	27
the we've got the	27
3 medic 3 en	27
god bless god bless	27
i agree i agree	27
not a kid i'm	27
a kid i'm not	27
kid i'm not a	27
at attention i'm at	27
no line no line	27
of the of the	27
engine 2 is en	27
we're 10-8 we're 10-8	27
3 is gonna be	27
can you just check	26
i'm going to try	26
i copy that from	26
in the area we'll	26
9 i'll be out	26
odor of natural gas	26
all the way to	26
advised not to return	26
3 medic 3's en	26
can go i'm closer	26
service this is a	26
can i get that	26
out of fair view	26
out in front of	26
there in a second	26
be 10-8 for now	26
just give me a	26
you can go i'll	26
medic 2 can you	26
dispatch medic 3 on	26
a good thing it's	26
good thing it's a	26
thing it's a good	26
be out of service	26
third party call from	26
owner came out and	26
standing by on the	26
1 en route to	26
47 year old female	26
and i have a	26
he's on his way	26
if you have a	26
going to be under	26
come back to a	26
he's all set i'll	26
19 with this female	26
for medic 3 we're	26
she's on her way	26
be 10-8 and i'll	26
the owner came out	26
here i'll be 10-8	26
detroit for an alarm	26
1 and car 8	26
going to die i'm	26
to die i'm going	26
die i'm going to	26
i'll be with them	26
a 72 year old	26
no wants i copy	26
brown and blue valid	26
not valid no wants	26
for a black male	26
he was advised of	26
if you can notify	26
66 year old male	26
can you run the	26
out of cleveland a	26
check to see if	26
be 19 to the	26
in front of a	26
you go to the	26
59 year old male	26
south of detroit with	26
she said she was	26
add her to the	26
2-car mva no injuries	26
hi hi hi hi	26
can you guys head	26
westerly 14312 detroit apartment	26
21 year old female	26
a report number please	26
a white male with	26
538- 538- 538- 538-	26
going to go back	26
engine 3 is back	26
3 is on the	26
bless god bless god	26
agree i agree i	26
that's that's that's that's	26
line no line no	26
the of the of	26
or or or or	26
kufner's kufner's kufner's kufner's	26
10-8 we're 10-8 we're	26
a 24 hour check	26
thanks for the briefing	26
this is gonna be	26
is gonna be in	26
be 10 8 with	26
on the 2026 gmc	26
expires 06 30 2026	26
06 30 2026 see	26
30 2026 see dealer	26
medic 3 from dispatch	25
45 year old male	25
we'll be all set	25
you check the area	25
47 year old male	25
dispatch medic 1's on	25
medic is in service	25
medic 2 you can	25
you can find an	25
15 you can disregard	25
by the name of	25
were you able to	25
i got a hold	25
49 year old male	25
to the trespass file	25
go i'm closer you	25
and engine 2 are	25
2's out we'll be	25
1's out of fairview	25
is in service patient	25
be investigating all companies	25
i'll head that way	25
male on the phone	25
take a look at	25
from truck 1 truck	25
i'm closer i'm closer	25
of cleveland it's a	25
to be under arrest	25
we'll be 19 with	25
male is going to	25
manic-3 manic-3 manic-3 manic-3	25
could just add it	25
just got a call	25
spoke with that male	25
i'll be there in	25
common spelling last name	25
it i'll be 10-8	25
2 medic 1 medic	25
can you get a	25
brown and brown she's	25
just a verbal argument	25
if you could add	25
75 year old male	25
engine 2 is back	25
is out of service	25
black male date of	25
got it thank you	25
is transporting a female	25
2 from truck 1	25
and engine 3 are	25
we were unable to	25
old female she has	25
a 77 year old	25
medic 3 go ahead	25
engine 2 is in	25
has a history of	25
i had you run	25
67 year old male	25
to call you back	25
dispatch medic 2 en	25
you can clear me	25
could you put me	25
225 225 225 225	25
for the briefing thanks	25
the briefing thanks for	25
briefing thanks for the	25
dispatch medic one's out	25
15 can you run	25
10 8 with a	25
8 with a separate	25
000 off msrp on	25
left prior to our	24
out of service for	24
cautions for violent tendencies	24
it looks like the	24
you're good to go	24
you want to go	24
to be able to	24
scene we have a	24
taking one to lakewood	24
are you going to	24
can you go ahead	24
medic 1's going to	24
kufner's has that vehicle	24
called and said that	24
black and brown he's	24
of the pickup for	24
a verbal argument between	24
this is a lift	24
i don't have a	24
said there's a black	24
20 i'll be out	24
give them a call	24
when you have a	24
the alarm company called	24
2 engine 2 truck	24
just want to make	24
medic 2's in service	24
were advised of the	24
and medic 3 are	24
engine 2 from car	24
be checking the area	24
can slow it down	24
i copy detroit and	24
to the rear of	24
added to the lunch	24
male wearing a blue	24
do you want us	24
with a male on	24
try to find a	24
to find a phone	24
at the car wash	24
number for the owner	24
can show me back	24
going to fire ground	24
i'll be checking on	24
that name and date	24
trying to get into	24
going to go get	24
40 year old female	24
44 year old male	24
car 2 is back	24
dispatch medic 3 in	24
going to do that	24
engine 3 in service	24
medic 2 engine 2	24
year old male who	24
be slow to respond	24
i'm going to 19	24
is on the phone	24
locked his keys in	24
medic 1 is taking	24
car 2 will be	24
will be back in	24
in the front yard	24
be in service patient	24
a 75 year old	24
66 year old female	24
medic 2 will be	24
engine 3 medic 2	24
transport at this time	24
spoke with the caller	24
67 year old female	24
can find an obt	24
going to have a	24
truck 1 car 2	24
a little bit of	24
you run a listing	24
80 year old female	24
was on the phone	24
you can copy go	24
1 medic one's en	24
engine 2 is gonna	24
medic 2 is gonna	24
a 10-16 out of	23
i'll be at the	23
can you start kufner's	23
he was going to	23
medic 3 and truck	23
you go ahead and	23
hold of the owner	23
like it's going to	23
copy i'm all set	23
court 13315 detroit room	23
50 year old male	23
be 10-8 and i	23
10-8 and i can	23
copy from the back	23
car 2's out we'll	23
just north of the	23
medic 1 is arriving	23
and i'll get you	23
can just add it	23
just add it to	23
or do you want	23
thanks for your time	23
having a heart attack	23
to around the corner	23
63 year old male	23
a call from a	23
if you could respond	23
i left a message	23
could you give me	23
in service returning medic	23
did you copy that	23
dispatch from station 3	23
a no parking zone	23
32 year old female	23
you start a squad	23
female on the phone	23
from dispatch are you	23
i'll be with her	23
don't know if it's	23
that vehicle i'll be	23
the parking lot behind	23
cleveland date of birth	23
speak with the female	23
51 year old female	23
a listing out of	23
knocking on the door	23
his keys in his	23
hasn't been able to	23
3 copies medic 3	23
companies go to fire	23
3 and engine 3	23
the complainant said that	23
able to get in	23
could you head to	23
we'll all be 10-8	23
13 i'll be out	23
check and see if	23
in service patient evaluated	23
for a general fire	23
20 year old female	23
is transporting 1 to	23
this is medic 1	23
the westerly 14300 detroit	23
be out to investigate	23
yelling at each other	23
in service patient refusal	23
1 2 and 3	23
medic 3 we're out	23
a little bit more	23
1 back in service	23
on his way we'll	23
can copy go ahead	23
valid id no 1	23
for a 2 car	23
medic 3 is gonna	23
and it looks like	22
going off in the	22
2 medic 3 and	22
out in the area	22
be out with them	22
stuck in the elevator	22
called so there's a	22
got out of the	22
have a description of	22
going to check the	22
black male wearing all	22
11 i'll be out	22
