trigram	count
one of the	199
i'm not sure	199
sorry i'm sorry	199
they're all set	198
engine 2 is	198
and see if	197
able to get	197
i'll be all	197
engine 2 engine	196
2 truck 1	196
in the lobby	195
just south of	195
set i'll be	195
can you see	195
be 19 with	194
the owner of	194
i'll be in	193
2 is en	193
she's valid no	192
he's valid no	192
1 medic 1's	192
2 is back	192
we'll be investigating	190
3's on scene	188
brown valid no	188
route to the	188
city in service	188
out of lakewood	187
to see if	187
the city in	186
from engine 3	185
for a male	185
15 i copy	183
all set here	183
i'll get him	183
3 en route	183
he said he	182
can you copy	182
from medic 3	182
truck 1 respond	181
i'll be on	181
medic 1 to	181
just north of	181
spoke with the	181
will be out	180
you put me	180
he has a	179
i can take	179
do you need	179
dispatch medic 2's	178
medic 3 we're	178
dispatch medic one's	178
i'm trying to	177
i get a	177
can show me	176
to the jail	176
3 medic 1	175
it was a	175
to speak to	175
medic 3 to	175
can you respond	175
here in a	174
i'm gonna be	174
one's en route	174
detroit for a	172
you have the	172
of birth is	172
going to have	171
there was no	171
you thank you	170
spoke to the	170
station 3 copies	169
for medic 2	168
dispatch medic 1's	168
it sounds like	168
they're going to	168
i got a	167
can get him	167
to get a	167
all set i'll	167
to speak with	167
10-8 10-8 10-8	167
and truck 1	166
3's en route	166
2 is out	165
on the back	165
can you put	165
complainant said that	164
you see if	163
we're en route	163
1 medic one's	162
1's en route	161
i'm 10-8 i'm	161
2's en route	160
there's a male	160
we're gonna be	160
companies car 2	159
10-8 with a	159
route to lakewood	159
to the westerly	159
can you add	158
said he was	156
can i have	156
male wearing a	156
added to the	155
station 1 copy	155
from medic 2	155
she said she	155
in a minute	153
he's going to	153
in service patient	153
male he's valid	153
this is the	152
will be 10-8	152
are going to	152
en route from	152
do we have	151
that there's a	151
10-8 i'm 10-8	151
of the vehicle	150
1 is back	150
1 en route	150
no wants 10-4	150
be 10-8 with	149
she has a	149
of the pickup	149
i'll be 19	147
thank you thank	147
a couple of	146
public service call	146
you able to	145
a valid id	145
be on the	145
head over to	145
i get the	145
can you repeat	144
1 is en	144
want me to	144
be able to	143
in the driveway	143
a hold of	143
i'm in the	143
it should be	143
25 25 25	142
female she's valid	142
station 2 copies	142
2's on scene	141
of the street	141
medic 3 en	141
i can head	140
is on the	140
me a call	140
i sent you	140
failure to appear	139
1 medic 2	139
car 2 and	139
gonna be a	139
with a male	138
car 2 from	138
be out on	138
a phone number	138
we checked the	138
can you guys	138
gonna be out	138
companies medic 2	138
for medic 3	138
for a female	137
i'll be en	137
on the scene	137
2 is on	137
has a valid	136
2 en route	136
to the hospital	136
dispatch from engine	136
like to speak	136
to make contact	136
19 to the	136
take that call	136
will be 10	136
can you try	134
come back to	134
i'll be at	134
check the area	134
everything checks okay	134
she said that	133
be out in	133
you show me	133
copy i'll be	133
3 truck 1	133
medic 3's en	133
go ahead go	133
15 i'll be	133
owner of the	132
let me know	132
transporting to fairview	132
valid id card	132
at this time	132
service call at	132
they have a	132
let you know	131
29 i copy	131
make contact with	131
he said that	131
lunch list please	131
i copy that	130
with this male	130
11 i'll be	130
can you head	130
is all set	129
is transporting to	129
last name is	129
to the city	129
the back hill	129
for a white	129
what was the	129
bye bye bye	129
with a female	128
can you go	128
see if you	128
you guys could	128
you want me	128
on his way	127
the front counter	127
we spoke with	127
can you call	127
could you respond	127
show me out	126
okay thank you	126
ahead go ahead	126
1 of the	126
medic one's en	126
13 i'm out	125
will be in	125
from truck 1	125
i don't see	124
25 24 25	124
24 24 24	124
medic 1's en	124
is out at	124
first name is	124
put me on	123
in the middle	123
2 is in	123
me a 21	122
said it was	122
at the door	122
to the station	122
out at lakewood	121
i copy from	121
from station 1	121
you go to	121
the middle of	121
be 10-8 10-4	121
report number for	120
you guys can	120
for a second	120
checked the area	120
1's on scene	120
try to find	120
4 thank you	120
to be on	119
one's on scene	119
we'll be en	119
in the backyard	119
on the list	118
the last 6	118
would like to	118
we spoke to	118
3 medic 3's	118
was able to	117
said that he	117
to the list	116
2 can you	116
2 2 2	116
know if you	115
from the station	115
to the front	115
i'm sorry i	115
gonna be in	115
refusing to leave	114
head to the	114
to medic 3	114
he was advised	114
south of detroit	113
on the street	113
try to get	112
madison for a	112
medic 2 to	112
29 i'll be	112
we'll be 10	112
male and female	112
117th and berea	111
be added to	111
1 will be	111
the back of	111
i copy detroit	111
and brown valid	111
a welfare check	111
engine 3 and	111
across the street	111
a public service	111
are you able	110
out of service	110
3 is transporting	110
to make sure	110
i'll take that	110
they were advised	110
has that vehicle	110
there's a black	110
parked in the	110
no no no	110
yeah yeah yeah	110
70 70 70	110
get you a	109
17 i'll be	109
if i can	109
a lot of	109
to the area	109
all companies car	108
she's going to	108
out we'll be	108
get a hold	108
you check on	108
with that male	108
the back door	107
valid id no	107
can you show	107
can go ahead	107
under arrest for	107
medic 1's out	107
go ahead i	107
and beale street	106
looks like it's	106
medic 3's on	106
to talk to	106
there is a	106
a verbal argument	106
you can start	106
could you check	106
the property room	106
medic one's on	106
a 2-car mva	105
you check the	105
19 with this	105
1 is out	105
out with the	105
it to the	105
sent you a	105
medic 1 en	105
check on a	105
there's a white	105
plate in a	104
going to head	104
we'll be in	104
medic 3's out	104
15 can you	104
a male in	104
and i'm going	104
i copy i'm	103
you send me	103
2 medic 3	103
head that way	103
just want to	103
and you can	103
copy from the	103
black male wearing	103
27 year old	103
okay we'll be	103
truck 1 medic	103
17 i copy	102
dispatch engine 3	102
the registered owner	102
phone number for	102
put me out	102
can i go	101
i copy i'll	101
around the corner	101
out in the	101
no need for	101
on the sidewalk	101
just add it	101
do you copy	101
25 year old	100
be 10-8 from	100
and i can	100
he's all set	100
on the ground	99
did you say	99
you head to	99
i spoke with	99
in the front	99
will be en	99
are you still	98
i'll let you	98
south of madison	98
the list please	98
car 2's out	98
medic 1 we're	98
3's back in	98
parked on the	98
can you assist	98
middle of the	98
go ahead i'm	98
if you wanna	98
when you're ready	97
should be on	97
in the building	97
2 and truck	97
need it back	97
the vehicle is	97
to be back	96
go on the	96
and car 2	96
2 and engine	96
be standing by	96
you know if	96
3 i copy	96
from car 10	96
19 i copy	96
in the car	95
send me the	95
for a minute	95
no answer at	95
1 is transporting	95
don't need it	95
speak with the	95
1 i copy	95
you get a	95
a fire alarm	95
not have a	94
unable to get	94
contact with the	94
1's back in	94
give you a	94
up to the	94
just west of	94
wearing a black	94
11 can you	93
just going to	93
over to the	93
be 10-8 and	93
coming from the	93
north of madison	93
i didn't know	93
answer at the	93
does not have	93
engine 2 and	93
26 year old	92
supposed to be	92
looks like the	92
the post office	92
appears to be	92
the front door	92
a lift assist	92
to pick up	92
2 will be	92
can you stop	92
check in front	92
from engine 2	92
12 i copy	92
see if we	91
me out at	91
said there was	91
1 truck 1	91
to get in	91
you a message	91
medic 2 en	91
29 year old	90
36 year old	90
for a black	90
30 year old	90
the lunch list	89
can i be	89
and if you	89
and we'll be	89
of the car	89
not going to	89
24 i copy	89
that male is	89
be on a	89
24 i'll be	89
white male wearing	89
the days inn	89
to stand by	89
a bunch of	89
medic one's out	89
when you get	88
be with him	88
all set i'm	88
2 go ahead	88
in a moment	88
in the stall	88
a group of	88
one's out of	87
28 year old	87
i be added	87
was advised of	87
just east of	87
so there's a	87
i will be	87
blocking the driveway	87
close to the	87
are back in	87
23 year old	87
you're all set	87
switching to fire	87
35 year old	87
a female to	87
to appear for	86
parking lot of	86
he said he's	86
you need me	86
out at fairview	86
car 2 truck	86
start heading to	86
a white female	86
2 medic 2's	85
you can send	85
to try to	85
see if i	85
34 year old	85
that he was	85
on the door	85
said she was	85
me back in	85
see if there's	84
let them know	84
on the east	84
if you need	84
is in the	84
you guys are	84
stall door please	84
of the complaint	84
the north side	84
not feeling well	84
i'm 10-7 at	84
to respond to	84
can you confirm	84
i had a	84
with the male	84
with this female	84
can get them	84
we can get	83
of the road	83
id no wants	83
last 6 of	83
with the owner	83
to an officer	83
number and time	83
dispatch from truck	83
there is no	83
do you guys	83
a male and	83
id card no	83
i added notes	83
check for a	83
driving due to	83
24 year old	82
go ahead with	82
37 year old	82
out in a	82
medic 3's back	82
2 from dispatch	82
2's back in	82
do you know	82
the alarm company	82
said that the	82
in and out	82
station 3 copy	82
at the station	82
one's back in	82
copy you can	81
3 can you	81
and engine 3	81
we got a	81
car 2 respond	81
in the tracks	81
for a vehicle	81
there as well	81
29 can you	81
in the apartment	81
said that she	81
did you copy	81
211 i copy	81
see if they	81
in a black	80
i copy and	80
out with him	80
you a plate	80
the east side	80
code 3 to	80
she was advised	80
old female having	80
10-4 can you	80
brown and blue	80
3's in service	80
was in the	80
medic 1 i	80
the phone with	80
get a report	80
there's no answer	80
go ahead can	80
not driving due	80
you try to	79
in a white	79
for a 2-car	79
is there a	79
no visible plate	79
just be advised	79
truck 1 and	79
2 you can	79
truck 1 is	79
for an alarm	79
copy can you	79
transporting to lakewood	79
male in a	79
on their way	79
19 can you	79
33 year old	79
parked in front	79
they said they	79
i'm out of	78
i go on	78
in the house	78
medic 1's on	78
advised of the	78
2 from engine	78
medic 1's back	78
you can find	78
i've got a	78
set we'll be	78
1 to the	78
give me the	78
return to service	78
at the front	78
that vehicle is	78
en route with	78
3 go ahead	78
10 8 and	78
what kind of	77
i'm out with	77
if you have	77
there's a female	77
a female in	77
dispatch from station	77
me on the	77
north of detroit	77
like us to	77
on my way	77
that male was	77
give us a	77
for failure to	76
me on a	76
i'm en route	76
to be the	76
i'll be clear	76
taking one to	76
quiet on arrival	76
1 you can	76
a male that	76
3 in service	76
you repeat that	76
18 year old	76
called and said	76
3 to the	76
was unable to	76
can you hear	76
40 year old	76
route back to	76
we're in service	76
engine 3 respond	76
it's on a	76
if we can	75
on the west	75
medic 1 will	75
you can clear	75
and said that	75
said that they	75
medic 2's en	75
he's in the	75
looks like a	75
out of his	75
3 will be	75
medic 3 on	75
medic 1 and	75
and out of	75
the phone number	75
en route back	75
1 can you	75
got a call	74
we're in the	74
advise and release	74
here for a	74
31 year old	74
in the store	74
i got the	74
number for the	74
go ahead the	74
should be all	74
no one's closer	74
due to emergency	74
2 is gonna	74
be at the	73
the name of	73
you get him	73
going to check	73
back of the	73
to the owner	73
to be en	73
a male on	73
i'm with him	73
1 go ahead	73
the rest of	73
a female at	73
i spoke to	73
ahead can you	73
if you just	72
to get further	72
coming in for	72
can you please	72
13 i'll be	72
to go ahead	72
the welfare of	72
all set we'll	72
is valid no	72
on the north	72
looks like it	72
19 for a	72
to find a	72
out on the	72
26 i copy	72
and he was	72
ahead and confirm	72
and can you	72
on the road	71
medic 3 truck	71
i'm on it	71
at that address	71
21 year old	71
to check the	71
serial number on	71
back to you	71
1's out of	71
a name and	71
3 engine 3	71
thank you for	71
for a fire	71
medic one's back	71
i copy you	70
all the way	70
13 i copy	70
north side of	70
15 you can	70
complainant said there's	70
armed and dangerous	70
too close to	70
22 can you	70
i'll have a	70
suspended no wants	70
i didn't see	70
find an obt	70
could just add	70
to the back	70
that's going to	69
he's got a	69
blue valid no	69
out of parma	69
was going to	69
10-8 from here	69
the corner of	69
the bus stop	69
out with that	69
1's in service	69
were able to	69
2's in service	69
male in the	69
dispatch engine 2	69
was trying to	69
if there's any	69
it might be	69
you start a	69
we'll take that	69
on a public	69
for the last	69
need that back	69
transporting a female	69
32 year old	68
copy 24 i'm	68
to lakewood er	68
with him in	68
on her way	68
can get a	68
speak to an	68
i don't have	68
of the house	68
speak to the	68
this is going	68
kufner has that	68
with that female	68
16 i'll be	68
in the basement	68
some type of	68
don't need that	68
station 2 copy	68
can head to	67
with the female	67
where are you	67
going to call	67
can show us	67
go ahead we	67
old male he	67
9 i'll be	67
29 you can	67
medic 3's in	67
3 on scene	67
here i'll be	67
all companies engine	67
you can cancel	66
i need to	66
brown brown valid	66
are en route	66
the west side	66
be out investigating	66
we're out of	66
13900 detroit room	66
1 on scene	66
be in front	66
is that a	66
to that call	66
check the welfare	66
having difficulty breathing	66
what's going on	66
fire ground on	66
i'm on my	66
truck 1 car	66
2 is transporting	66
go ahead sir	66
all set we're	66
this was a	66
a call from	65
a plate in	65
him in a	65
medic 3 and	65
me know if	65
for me please	65
the male is	65
can you 19	65
21 i copy	65
14312 detroit apartment	65
the report number	65
to check on	64
that should be	64
in the vehicle	64
29 go ahead	64
old female with	64
i don't think	64
medic 1's in	64
traffic 24 i'm	64
vehicle i'll be	64
there in a	64
ground on arrival	64
after the light	64
a female that	64
add it to	64
down the street	64
going to the	64
i covered you	64
still in the	64
female to fairview	64
of that vehicle	64
to the property	64
on the south	63
to get the	63
he was just	63
can go back	63
6 of the	63
would you like	63
3's out of	63
car 2's in	63
arriving at fairview	63
a black female	63
3 you can	63
17 year old	63
1 to fairview	63
for the night	63
for a few	63
and she said	63
go back to	63
go ahead i'll	63
i was just	62
check on the	62
him to the	62
it comes back	62
for a little	62
car 2's on	62
i got him	62
to be 10-8	62
car 2's en	62
you check in	62
westerly 14312 detroit	62
to my car	62
checks okay we'll	62
you guys still	62
a serial number	62
22 i'll be	62
is arriving at	62
out of her	62
engine 3 will	62
not coming back	62
i'll be standing	62
the premise file	62
has a vehicle	62
one to fairview	62
can we get	62
you can get	62
that she was	62
old female she	62
10-4 10-4 10-4	62
we can take	61
on the vehicle	61
20 i'll be	61
22 year old	61
from the back	61
to get out	61
22 i copy	61
you in a	61
at lakewood park	61
one's in service	61
the address to	61
in service this	61
and i have	61
24 i'm out	61
old male having	61
is out on	61
card no wants	61
the front of	61
i should be	61
he does not	61
the south side	61
i'm so sorry	61
this is medic	61
two's en route	61
can go i	60
20 year old	60
back on the	60
you just want	60
9 i copy	60
39 year old	60
he wants to	60
male with a	60
we have any	60
29 we'll be	60
has an active	60
a protection order	60
was no answer	60
was advised to	60
to find an	60
and medic 2	60
old female that	60
as soon as	60
an alarm showing	60
some kind of	60
was on the	60
just so you	60
there's nothing showing	60
owner of that	60
the high school	60
19 i'll be	60
the side of	59
out of it	59
going to try	59
19 year old	59
i'm right here	59
west side of	59
she said she's	59
cleveland on a	59
get ahold of	59
you give us	59
you guys need	59
i'll be back	59
male on the	59
on a black	59
switch to fire	59
want us to	59
there's a vehicle	59
detroit apartment number	59
2 car mva	59
11 you can	59
is a test	59
ahead i'll be	59
go i copy	58
check it out	58
should be in	58
medic 1 truck	58
medic 3 in	58
medic 2's back	58
1 is on	58
locked out of	58
for my driver	58
41 year old	58
you could start	58
i'll give you	58
1 is going	58
id card is	58
for the owner	58
third party call	58
you hear me	58
it was just	58
a few minutes	58
stop up here	58
2 i copy	58
i got you	58
to the complainant	58
medic 1 0	58
we'll be at	57
i think it's	57
medic 3 from	57
are in service	57
we have the	57
it i'll be	57
the area checking	57
65 year old	57
welfare check on	57
the vehicle was	57
so i can	57
dispatch can you	57
medic 3 are	57
she's not sure	57
in service medic	57
to fairview hospital	57
the report room	57
conscious and breathing	57
there are no	57
for the stop	57
be for a	57
had a note	57
the westerly 14312	57
to our arrival	56
i think i	56
out of north	56
can just add	56
what's the last	56
of the vin	56
truck 1 to	56
medic 2 we're	56
at detroit and	56
and engine 2	56
to be at	56
and lakewood heights	56
and medic 3	56
said that there's	56
3 is going	56
there for a	56
in the street	56
checking the area	56
me a report	56
old male 6	56
43 year old	56
miles an hour	56
3 we're back	56
so sorry i'm	56
sorry i'm so	56
12400 madison apartment	56
medic 1 on	56
down in the	56
104 thank you	56
prior to our	55
and the other	55
can send me	55
to come back	55
38 year old	55
i'll try to	55
you guys have	55
to be 19	55
it's a black	55
12 i'm closer	55
sounds like the	55
clifton for a	55
a male at	55
need for ems	55
call back if	55
an active permit	55
medic 1 from	55
car 2 will	55
trying to find	55
2 is going	55
i left a	55
on a white	55
been able to	55
25 i copy	55
51 year old	55
not able to	55
the complainant said	55
lake for a	55
a 24 hour	55
2 car 2	55
wearing all black	55
3 is arriving	55
2 and 3	55
we're trying to	54
get out of	54
car 2 copies	54
47 year old	54
car 2 are	54
go back in	54
50 year old	54
going to need	54
he's on the	54
she said he	54
the male was	54
east side of	54
male date of	54
you add a	54
she said her	54
hit her head	54
and there's no	54
dispatch truck 1	54
to go back	54
going to get	53
just in case	53
you can advise	53
10-4 i'll be	53
lift assist only	53
a male to	53
parked too close	53
that they were	53
looks like there's	53
we're on scene	53
we're on the	53
in service we'll	53
3 and medic	53
you're going to	53
3 is taking	53
have a dl	53
that comes back	53
the area for	53
the male that	53
said they were	53
you could check	53
a test this	53
test this is	53
one's gonna be	53
14 i copy	53
gonna be on	53
2 0 3	53
go ahead we're	52
sorry can you	52
for violent tendencies	52
to give me	52
medic 3 copy	52
you start kufner	52
i'll be 10-7	52
you in the	52
i'll send you	52
she said it	52
alarm going off	52
be in a	52
responding to the	52
the 3rd floor	52
all companies switch	52
69 year old	52
parking lot with	52
is transporting a	52
on the floor	52
medic 2 copies	52
come to the	52
never had a	52
be checking on	52
starting mileage is	52
10-8 from the	52
medic 2 truck	52
for a warrant	52
female in the	52
on the tracks	52
run a plate	52
14306 detroit apartment	52
66 year old	52
don't see anything	52
mva no injuries	52
in contact with	52
spoke with a	52
19 you can	52
you can return	52
said that a	52
one of them	51
on the side	51
going to come	51
i'm not seeing	51
turned over to	51
to get into	51
2 medic 1	51
64 year old	51
stuck in the	51
you go ahead	51
speak to a	51
pick up the	51
looks like he	51
i can go	51
south of clifton	51
i copy madison	51
lakewood heights and	51
70 year old	51
be clear from	51
or do you	51
it's out of	51
wearing a blue	51
they said that	51
all set on	51
with a black	51
be there in	51
to the west	51
come out and	51
the car is	51
companies engine 3	51
vehicle we'll be	51
service patient refused	51
67 year old	51
the front desk	51
head up to	51
are you calling	51
old male 05	51
be under arrest	50
it's a white	50
medic 1 you	50
57 year old	50
to all companies	50
truck 1 will	50
of cleveland on	50
an officer about	50
74 year old	50
looks like we	50
for armed and	50
1 is in	50
suspended valid id	50
1 in service	50
i'm gonna have	50
i have to	50
to the premise	50
be coming in	50
going to do	50
medic 1 copies	50
i'm clear from	50
if no one's	50
at the westerly	50
companies engine 2	50
and there was	50
going to respond	50
get the last	50
28 i'll be	50
take care of	50
she's in the	50
you start heading	50
male that was	50
72 year old	50
is there any	50
old male with	50
medic 3 copies	50
it's just a	50
gonna be for	50
name is gonna	50
gonna be the	50
dispatch 3 is	50
a 10 16	50
you repeat the	49
you just add	49
you guys set	49
11 go ahead	49
55 year old	49
1 and car	49
1 to lakewood	49
to the lunch	49
71 year old	49
to this location	49
hold of the	49
i'm on scene	49
203 i'll be	49
the area and	49
able to find	49
investigating all companies	49
of the city	49
companies switch to	49
send it to	49
the lake house	49
at each other	49
you need to	49
down to the	49
he's not sure	49
looks like they're	49
to come out	49
medic 2 from	49
and he said	49
in our city	49
1 out of	49
3 car 2	48
have a name	48
came out and	48
17 can you	48
i'm just going	48
it to you	48
was cited for	48
back parking lot	48
2's going to	48
an obt for	48
i'm closer you	48
closer you can	48
to call the	48
talk to you	48
75 year old	48
this is an	48
i just got	48
in the lot	48
in service from	48
be a white	48
they should be	48
i'm gonna head	48
at clifton and	48
she wants to	48
29 are you	48
i copy clifton	48
don't have a	48
i copy i	48
to the haven	48
old male has	48
did you get	48
for a follow-up	48
18 i copy	48
had a license	48
us to check	48
gonna be back	48
26 i'm out	48
46 year old	48
male 6 foot	48
old male suspended	48
they're on the	48
can you come	48
have a male	48
a number for	48
to medic 2	48
was just a	48
so you know	48
engine 2 respond	48
of madison with	48
on 10 8	48
out of here	47
number on a	47
going to give	47
in the detail	47
you can put	47
see if he's	47
him on the	47
it thank you	47
all set there	47
needs a lift	47
he said it	47
a description of	47
south of franklin	47
his name is	47
she does not	47
in regards to	47
stand by for	47
transporting a male	47
what's your location	47
medic 1's transporting	47
has an expired	47
female said she	47
202 can you	47
you guys go	47
still on the	47
i copy thanks	47
parked in a	47
detroit the westerly	47
we've got a	47
take a look	47
i have that	47
i'll head to	47
detroit there's a	47
north of franklin	47
didn't know it's	47
find a phone	47
can you tell	47
some sort of	47
we don't have	47
route from station	47
is medic 1	47
62 year old	47
issue me a	47
were unable to	47
1 car 8	47
engine 2 car	47
the fire department	47
can return to	47
i found a	47
medic 2 and	47
medic 1 2	47
medic 2 on	47
2 on scene	47
medic one's in	47
want to go	46
just trying to	46
48 year old	46
42 year old	46
to head to	46
can you make	46
can go i'm	46
on the second	46
with the squad	46
the male in	46
you copy a	46
we were able	46
you can add	46
north of the	46
call her back	46
looks like they	46
9 can you	46
medic 2's on	46
remain on scene	46
to have to	46
i do not	46
i'll be there	46
a mental health	46
spoke with that	46
black brown valid	46
truck 1 from	46
the plate is	46
rest of the	46
can you speak	46
get a number	46
i can have	46
speak with a	46
truck 1 are	46
attention medic 3	46
you could please	46
11 are you	46
not on file	46
no wants copy	46
10 7 at	46
copy go ahead	45
out with her	45
me out of	45
out with king	45
the back parking	45
29 will be	45
talk to the	45
could you please	45
it was quiet	45
24 can you	45
59 year old	45
to lakewood ed	45
going to take	45
don't see any	45
check in the	45
13 can you	45
for an mva	45
he should be	45
it's in the	45
to the male	45
was a white	45
she did not	45
is taking one	45
advise the jailer	45
you call me	45
she said the	45
looking for a	45
report number and	45
i need a	45
stand by while	45
having trouble breathing	45
i'm at the	45
if we have	45
keep an eye	45
detroit for an	45
name date of	45
dispatch you can	45
can disregard the	45
save up to	45
have a separate	45
attention medic 1	45
haven 1341 marlowe	45
truck 1 we're	45
he's gonna be	45
go ahead robert	45
break for a	44
with a white	44
at madison and	44
to that male	44
the jail with	44
3 and truck	44
requesting a squad	44
in the property	44
was quiet on	44
her to the	44
3's out at	44
a vehicle parked	44
i'll head over	44
i checked the	44
2 i'll be	44
break for another	44
i'll head there	44
with the caller	44
gonna have to	44
so we can	44
head back to	44
up on the	44
the door and	44
on the front	44
and a half	44
thanks for your	44
just got a	44
can head over	44
be checking the	44
you want us	44
she's unable to	44
sitting in the	44
owner came out	44
53 year old	44
i was able	44
to have a	44
in the jail	44
44 year old	44
spoke to that	44
if they can	44
can you meet	44
westerly 14306 detroit	44
this will be	44
the listed owner	44
thanks for the	44
she would like	44
3 and car	44
right in front	44
i'm just gonna	44
pc for the	44
medic 1 can	44
go ahead john	44
wearing a white	44
10 8 from	44
will be 108	44
medic 2 0	44
engine 3 car	43
head to that	43
you can call	43
they're in the	43
one more time	43
i'll be turning	43
so we'll be	43
way we'll be	43
old male that	43
are on scene	43
you can check	43
in a gray	43
description of the	43
the way to	43
be waiting in	43
an expired permit	43
protection order against	43
to fairview with	43
sounds like he	43
52 year old	43
have a phone	43
1 from dispatch	43
medic 2 can	43
the street and	43
guys could check	43
not sure what	43
coming back to	43
they want to	43
the rear of	43
in the background	43
has the vehicle	43
know if i	43
all set up	43
fell and hit	43
lot of the	43
and she was	43
and talk to	43
i can find	43
need me to	43
listing out of	43
i have it	43
have a female	43
and there's a	43
like it was	43
for a welfare	43
to you guys	43
to lakewood park	43
will be responding	43
eastbound on detroit	43
211 can you	43
the haven 1341	43
talk to him	43
okay can you	42
that it was	42
i copy 24	42
call from a	42
we have both	42
warren and franklin	42
be advised the	42
don't have any	42
clear from the	42
company is medic	42
are out of	42
to be transporting	42
looks like he's	42
advised not to	42
13315 detroit room	42
change the address	42
medic 1 in	42
with an officer	42
respond to this	42
just wanted to	42
a little closer	42
a separate and	42
called back and	42
it in the	42
medic 3 engine	42
you check at	42
be responding to	42
no parking zone	42
21 i'll be	42
just a little	42
2 in service	42
you check around	42
i added the	42
been there for	42
you have any	42
i can start	42
and hit her	42
if there's a	42
on detroit from	42
female that fell	42
edgewater apartment number	42
west of the	42
causing a disturbance	42
unable to locate	42
seems to be	42
can head there	42
is medic 3	42
the westerly 14306	42
medic 1 copy	42
set we're all	42
there's no 1	42
we're 10 8	42
are gonna be	42
3 is gonna	42
here at the	41
female with a	41
the owner is	41
be on it	41
towers 12506 edgewater	41
49 year old	41
we will be	41
arriving at lakewood	41
of the post	41
to make a	41
speak to you	41
should be there	41
having chest pains	41
king henry adam	41
the second floor	41
checking on a	41
not in the	41
start a squad	41
a female on	41
speak with an	41
guys go to	41
coming up to	41
to the door	41
got into a	41
made contact with	41
just give me	41
cars are out	41
and i'll get	41
she was just	41
medic 3 will	41
company medic 3	41
could you head	41
from detroit and	41
and medic 1	41
truck 1 truck	41
you copy that	41
to head over	41
to get her	41
medic 3 i	41
could you repeat	41
name of the	41
you check for	41
of the apartment	41
in route to	41
can try to	41
added some notes	41
in the hallway	41
ending mileage is	41
didn't see anything	41
i'm back in	41
that call on	41
a plate for	41
do we know	41
central companies medic	41
to car 2	41
that's gonna be	41
out of westlake	41
plate on the	41
he's wearing a	41
waiting in the	41
could you go	41
14 i'll be	41
go ahead this	41
in service 10-4	41
it will be	41
2 0 2	41
left prior to	40
to call back	40
add him to	40
one to lakewood	40
he had a	40
pulling into the	40
45 year old	40
he's in a	40
said it's a	40
on the wrong	40
the wrong side	40
wrong side of	40
i'd like to	40
1's going to	40
you at the	40
in service no	40
to move it	40
in a row	40
to get to	40
get you the	40
63 year old	40
copies thank you	40
on scene switching	40
you tell me	40
1 from car	40
