bigram	count
and hilliard	129
for my	129
do it	128
okay thank	128
guys can	128
are on	128
called said	128
king adam	128
we don't	128
us a	127
she's going	127
there a	127
one to	127
the vin	127
that she's	127
is medic	127
the wrong	127
22 i	127
said there	127
17 and	127
call me	127
and 219	127
28 copy	127
no no	127
i'm clear	126
might have	126
checking the	126
do not	126
checked okay	126
we're at	125
you're ready	125
can see	125
i tried	125
male at	125
you assist	125
is at	125
try and	125
alarm showing	125
into a	124
but the	124
corner of	124
an alarm	124
give us	124
get that	124
take a	124
11 can	123
king sam	123
1 truck	123
but it's	123
tried to	123
go for	123
checking on	123
off of	123
copy i	123
3 on	123
here i'll	123
25 traffic	123
215 and	123
here at	122
plate in	122
henry adam	122
1 you	122
but it	122
male to	122
not in	122
clifton with	122
be responding	122
inside the	122
is arriving	122
3 are	122
to assist	122
middle of	122
advise the	122
219 and	122
2 15	122
to our	121
if she	121
okay i	121
in cleveland	121
you at	121
we need	121
13900 detroit	121
difficulty breathing	121
king ocean	121
her apartment	121
female at	121
14300 detroit	121
and black	120
that one	120
was able	120
got him	120
17 traffic	120
traffic stop	120
2 we're	120
to dispatch	120
the only	120
0 2	120
4 thank	120
2 i	119
12506 edgewater	119
no visible	119
be added	119
a good	119
set i'm	119
and 222	119
29 can	119
she's a	119
a name	118
you got	118
car and	118
she doesn't	118
of service	118
the ground	118
copy medic	118
and out	118
king tom	118
each other	118
i'll check	118
it down	118
24 i'll	118
check around	118
group of	118
8 and	118
can send	117
back of	117
number please	117
of franklin	117
has the	117
southbound on	117
check at	117
this call	117
3 will	117
she thinks	117
a public	117
24 hour	117
1341 marlowe	117
you're good	116
we're just	116
king david	116
way to	116
westbound on	116
be waiting	116
that back	116
found a	116
is taking	116
he does	116
take it	116
and 3	116
14 i	116
truck 2	116
see the	115
the lake	115
king queen	115
is clear	115
from her	115
for it	115
a welfare	115
i couldn't	115
female was	115
lives in	115
16 traffic	115
nothing showing	115
to clear	114
i am	114
for your	114
that plate	114
company is	114
from madison	114
speaking with	114
suspended no	114
3 in	114
know what	114
on our	114
it's in	114
some notes	114
return to	114
224 and	114
the number	113
arrest for	113
it for	113
the stop	113
out we'll	113
to stay	113
29 we're	113
vehicle and	113
his name	113
the registered	113
or anything	113
no issues	113
of clifton	113
the haven	113
and female	113
for dci	113
can have	113
21 i	113
property room	113
said they're	113
yeah yeah	113
attention medic	113
22 traffic	112
i'll go	112
you on	112
truck 1's	112
female having	112
a resident	112
and cove	112
a parking	112
to stand	112
if the	112
call and	112
come in	112
1 can	112
70 70	112
saint charles	112
3 can	111
be standing	111
it on	111
need for	111
he's having	111
to handle	111
coming up	111
you're all	111
you stop	111
we're good	110
this morning	110
can clear	110
she's on	110
a lift	110
find an	110
but he's	110
left the	110
211 i	110
15 and	110
his car	110
no longer	110
in case	109
after the	109
post office	109
was going	109
the traffic	109
back out	109
15 to	109
is also	109
get to	109
out for	108
3 from	108
get out	108
head that	108
that fell	108
an obt	108
211 and	108
copies medic	108
2 you	108
have him	108
25 i'm	108
2's in	108
we're set	108
just so	108
here on	108
and can	108
mental health	108
edward robert	108
ahead i	108
in this	108
gave me	108
20 1	108
in our	107
6 of	107
a traffic	107
no need	107
25 i	107
adam robert	107
beale street	106
needs to	106
and 211	106
a dog	106
9 i	106
just wanted	106
madison number	106
could check	106
male having	106
1 car	106
the time	106
be for	106
no injuries	106
and 220	106
a 2-car	105
one more	105
it'll be	105
for another	105
them in	105
a listing	105
company medic	105
26 i'm	105
a group	105
manor park	105
station at	105
be 108	105
me that	104
not on	104
and west	104
just going	104
they don't	104
see any	104
is an	104
to start	104
27 year	104
this vehicle	104
need me	104
he left	104
type of	104
a warrant	104
call on	104
this car	103
show us	103
a 10-16	103
of 26	103
see him	103
and 217	103
29 you	103
about the	103
you for	103
to locate	103
here with	103
called and	103
to turn	103
and lakewood	103
the roadway	103
next to	103
she had	103
up in	102
owner is	102
with it	102
having some	102
i'll call	102
door please	102
9 i'm	102
door and	102
the elevator	102
back here	102
she believes	102
15 you	102
back if	102
can't get	102
serial number	102
or a	102
you hear	102
just west	102
john david	102
companies engine	102
16 i	102
on 1	102
was at	101
the bar	101
that parking	101
her car	101
answer at	101
a 19	101
i covered	101
king boy	101
are we	101
out front	101
on foot	101
he's all	101
still in	101
that it's	100
violent tendencies	100
king john	100
let them	100
25 year	100
him on	100
working on	100
a ride	100
start kufner	100
wanted to	100
you confirm	100
copy we're	100
third party	100
or the	100
the rear	100
yeah i'm	100
need that	100
3's in	100
john king	100
copy madison	100
10-4 10-4	100
they're not	100
a large	100
217 and	99
3's back	99
was that	99
on lake	99
he's at	99
and warren	99
no parking	99
are back	99
the water	99
the days	99
19 can	99
clifton number	99
not valid	99
got you	99
for his	98
east side	98
on to	98
hilliard and	98
feeling well	98
was an	98
from clifton	98
to let	98
13 i'll	98
left a	98
head up	98
cars are	98
gonna go	98
switching to	98
is now	98
16 i'm	98
26 i	98
hold on	98
medic 4	98
ahead i'm	98
have her	97
that it	97
name of	97
if it	97
10-4 i'm	97
was cited	97
10-4 i'll	97
that'll be	97
to it	97
make a	97
10-4 i	97
clifton apartment	97
2 go	97
the night	97
male said	97
vehicle parked	97
that's what	97
me please	97
like he's	97
copy clifton	97
said his	97
male has	97
we'll take	97
the white	97
the basement	97
time for	97
the manager	97
in here	96
just check	96
he didn't	96
appear for	96
number on	96
about to	96
the post	96
we had	96
the lunch	96
i'm right	96
in madison	96
they're on	96
we're 10-7	96
on 10-8	96
take the	96
1's back	96
not going	96
same traffic	96
and now	96
call her	96
any of	96
so we	96
so they	96
the rest	96
a 24-hour	96
can return	96
bunch of	96
i'll try	95
at detroit	95
guys are	95
we're clear	95
taking one	95
appears to	95
north side	95
to send	95
come up	95
add a	95
and 213	95
respond at	95
there as	95
and 214	95
lake the	95
that's correct	95
like they're	95
hit her	95
and there	95
2 17	95
1 for	94
cautions for	94
her phone	94
so far	94
under the	94
lake apartment	94
at clifton	94
so i'm	94
it says	94
the police	94
you 19	94
her head	94
fairview hospital	94
send you	93
ahead with	93
they're in	93
plate for	93
a description	93
said a	93
my way	93
loud music	93
rush hour	93
kufner's has	93
an active	93
know that	93
his apartment	93
but they	93
just gonna	93
northbound on	93
she's gonna	93
high school	93
think it's	92
26 year	92
and 29	92
a license	92
smoke detector	92
may have	92
right in	92
set there	92
i'll send	92
for follow-up	92
description of	92
may be	92
not to	92
lives at	92
copy can	92
her back	92
like they	92
clifton the	92
she's been	92
waiting for	92
he's just	92
a bunch	92
to detroit	92
they need	92
car 4	92
of our	91
of their	91
the lot	91
10-4 thanks	91
be here	91
madison with	91
is this	91
just east	91
the residence	91
your location	91
plate on	91
a copy	91
her in	91
one is	91
copy the	91
0 1	91
a 10	91
outside of	91
to 2	91
17 can	90
robert adam	90
to 19	90
up a	90
use the	90
to confirm	90
have another	90
10-4 can	90
29 year	90
36 year	90
on bunts	90
detroit with	90
spring garden	90
all of	90
the train	90
30 year	90
on fire	90
know it's	90
that's been	90
of 24	90
common spelling	90
mutual aid	90
route with	90
check it	89
17 to	89
28 year	89
i could	89
yelling at	89
you make	89
on lakewood	89
at her	89
3 engine	89
detroit to	89
just let	89
there to	89
they want	89
detroit medic	89
down and	89
they got	89
1 are	89
robert tom	89
phone with	89
know the	89
across from	89
the bridge	89
1 more	89
on 117th	88
20 i'm	88
west side	88
that his	88
you are	88
engine 2's	88
to all	88
and has	88
here i'm	88
parking complaint	88
is just	88
in an	88
like that	88
on your	88
a tow	88
24 copy	88
an mva	88
with me	88
and advised	88
it might	88
205 and	88
down on	88
come to	88
card no	88
the tow	88
25 and	88
could be	88
the garage	88
and lake	88
the tree	88
it's an	87
south marginal	87
now and	87
edgewater number	87
have them	87
and time	87
john tom	87
on warren	87
not feeling	87
unit 1	87
at 1	87
patient was	87
a dark	87
the carlisle	87
the welfare	87
23 year	87
john john	87
and confirm	87
that there	87
with george	87
you come	87
here to	87
at least	87
35 year	87
there any	87
not driving	87
was there	87
212 and	87
2 3	87
3 0	87
one's back	87
1 17th	87
that mail	86
to us	86
so the	86
cleveland on	86
them know	86
cars on	86
i'm back	86
and 20	86
34 year	86
be 10-7	86
female who	86
he wants	86
hung up	86
1's in	86
the line	86
for 2	86
in their	86
gonna head	86
switch to	86
number 3	86
she's having	86
a tree	86
2 19	86
14 i'm	85
where are	85
that's going	85
copy 24	85
female on	85
advised the	85
you don't	85
cited for	85
can try	85
the cars	85
ennis court	85
in it	85
vehicle that	85
22 on	85
other cars	85
towards the	85
one's in	85
down in	85
her boyfriend	85
this mail	85
3 you	85
and 221	85
orchard grove	85
their way	85
all black	85
car mva	85
can call	84
a bit	84
visible plate	84
advise and	84
the past	84
requesting a	84
and 202	84
medic is	84
29 detroit	84
repeat that	84
number 4	84
drug mart	84
she does	84
he lives	84
i'll give	84
john william	84
address is	84
check okay	84
passed out	84
some of	84
at 10	84
disregard the	84
and 224	84
the fedor	84
route back	84
and 225	84
get on	84
you back	84
3 go	84
19 i'll	84
we're 10	84
check out	83
vehicle in	83
send a	83
for traffic	83
king paul	83
11820 edgewater	83
parking violation	83
listing is	83
had to	83
bus stop	83
protection order	83
open the	83
it's all	83
can give	83
sitting in	83
1 go	83
it just	83
driving due	83
they're just	83
dispatch truck	83
24 year	82
still there	82
what kind	82
37 year	82
transporting one	82
and release	82
male who	82
okay i'll	82
she can	82
between the	82
213 and	82
both parties	82
part of	82
quiet on	82
2's back	82
she's at	82
may i	82
222 and	82
up with	82
issues with	82
is for	82
checked on	82
move it	82
vehicle on	82
them and	82
set we'll	82
12900 lake	82
the listing	82
cell phone	82
door is	82
okay and	82
burger king	82
care of	82
and 19	82
2 12	82
12 and	82
just wanna	82
john sam	81
she didn't	81
i called	81
just in	81
for failure	81
blue valid	81
22 can	81
responding from	81
be king	81
says she	81
can check	81
you like	81
to return	81
the camera	81
ahold of	81
he'll be	81
the track	81
clifton king	81
lincoln adam	81
16 i'll	81
6 foot	81
me at	81
ahead can	81
to 20	81
2 for	81
1 4	81
went to	80
get further	80
keys in	80
9 i'll	80
coming out	80
a possible	80
i left	80
the key	80
his vehicle	80
up for	80
clifton for	80
no plate	80
having difficulty	80
dropped off	80
it's been	80
and was	80
refused transport	80
squad assist	80
and 203	80
just the	80
to them	80
rest of	80
6 1	80
so it's	80
have you	80
and that's	79
our arrival	79
on west	79
shirt and	79
from there	79
shows a	79
we will	79
just for	79
good to	79
i saw	79
13 and	79
attempt to	79
an elderly	79
just have	79
unit 2	79
the location	79
can be	79
yeah we're	79
when he	79
that they're	79
here i	79
in lakewood	79
have some	79
to walk	79
lake for	79
would be	79
216 and	79
one's closer	79
it shows	79
33 year	79
and 212	79
1 6	79
right there	78
what's your	78
a 2	78
do that	78
a 24	78
dispatch you	78
22 i'm	78
of him	78
says that	78
a match	78
the business	78
waiting in	78
caution for	78
add that	78
like there's	78
get up	78
he can	78
there's any	78
assist the	78
call you	78
and 1	78
set we're	78
i'm 10	78
0 8	78
2 11	78
be turning	77
11 you	77
damage to	77
doesn't have	77
the er	77
211 traffic	77
is king	77
his phone	77
29 we'll	77
i want	77
18 year	77
okay we're	77
clifton cove	77
25 copy	77
any further	77
like us	77
the berkshire	77
i'm still	77
fire department	77
was unable	77
riverside and	77
we're still	77
set on	77
any other	77
dl for	77
patient refused	77
to emergency	77
she left	77
on edgewater	77
2 8	77
dispatch 3	77
female fell	77
we could	76
says she's	76
can cancel	76
not seeing	76
more time	76
to 11	76
the description	76
i'm en	76
her way	76
the intersection	76
that's all	76
king mary	76
stuck in	76
is having	76
copy back	76
where the	76
suspended valid	76
outside the	76
the third	76
the dl	76
and hit	76
the premise	76
with no	76
now i'll	76
2 in	76
and all	76
40 year	76
so she	76
received a	76
1 5	76
19 you	76
she says	75
him he	75
got me	75
this way	75
and have	75
lakewood ed	75
the window	75
to contact	75
dispatch car	75
a deal	75
no i	75
report room	75
did they	75
a green	75
18 i	75
ahead the	75
that lives	75
be heading	75
the drive	75
is he	75
like she	75
on file	75
you and	74
i should	74
doesn't know	74
20 i'll	74
showing a	74
that's it	74
211 i'm	74
of 25	74
the gas	74
31 year	74
king robert	74
lincoln edward	74
it doesn't	74
not coming	74
the patient	74
see it	74
edward lincoln	74
now i'm	74
her vehicle	74
and 216	74
station to	74
a small	74
there with	74
19 copy	74
14 traffic	74
are gonna	74
we're not	73
to keep	73
that should	73
odor of	73
pulling into	73
for some	73
is coming	73
apartment 1	73
franklin with	73
wearing all	73
came back	73
adam nora	73
notes added	73
too close	73
address to	73
be giving	73
does have	73
he thinks	73
john young	73
car 6	73
was trying	73
not answering	73
you do	73
adam lincoln	73
the residents	73
wait for	73
covered you	73
back there	73
stop up	73
29 10-4	73
0 9	73
14 and	73
the complainant's	72
head back	72
needs a	72
that i'm	72
of parma	72
get into	72
when we	72
hit a	72
she wants	72
13315 detroit	72
the left	72
get your	72
my partner	72
this address	72
armed and	72
and dangerous	72
locked out	72
part 2	72
a gun	72
vehicle i'll	72
welfare of	72
a medical	72
i'll just	72
and 15	72
from this	72
and 218	72
now he's	72
looking at	72
but she's	72
4 and	72
was it	72
been parked	72
check started	72
male 6	72
listed owner	72
about it	72
that 1	72
20 8	72
car two's	72
29 go	71
now i	71
send it	71
work phone	71
it from	71
it i'll	71
21 year	71
don't think	71
can come	71
to 3	71
both of	71
change the	71
can add	71
her she	71
front desk	71
see that	71
if they're	71
you're not	71
22 i'll	71
2 of	71
her name	71
from lakewood	71
a follow-up	71
lincoln lincoln	71
they had	71
28 10-7	71
robert robert	71
16 and	71
for 10	71
need the	71
be tonight	71
back with	71
where you	71
90 westbound	71
house and	71
i 90	71
1 3	71
214 and	71
she did	70
a wire	70
her a	70
advised and	70
it comes	70
premise file	70
end of	70
1 out	70
he went	70
so i'll	70
copy a	70
could start	70
with one	70
9 can	70
ground on	70
look like	70
male called	70
black chevy	70
called in	70
the highway	70
26 traffic	70
he did	70
the pool	70
ahead sir	70
to 1	70
there's some	70
some type	70
19 we're	70
of gas	69
have no	69
that's fine	69
are all	69
she's got	69
having chest	69
westerly 14312	69
5 minutes	69
him up	69
were able	69
john union	69
got into	69
the floor	69
and 205	69
the bathroom	69
in my	69
copy warren	69
for about	69
me in	69
south side	69
14701 detroit	69
4 is	69
0 7	69
giant eagle	69
0 6	69
32 year	68
call to	68
and check	68
ahead we	68
need any	68
which is	68
is calling	68
complaining of	68
elderly female	68
