2025-12-18T16:09:26.544022+00:00|Dispatch for medic 3.
2025-12-18T16:09:31.318464+00:00|Thanks. Great.
2025-12-18T16:09:35.367639+00:00|Medic 3's transporting 1 to Fairview.
2025-12-18T16:09:39.922803+00:00|I copy.
2025-12-18T16:10:37.222482+00:00|29. That car was cited. Who knows what's left. We'll be 10-8.
2025-12-18T16:10:40.950356+00:00|10-7. 12 I'm closer. You can go.
2025-12-18T16:14:02.930268+00:00|6-8.
2025-12-18T16:14:05.713904+00:00|20
2025-12-18T16:14:28.509264+00:00|Please stick with the mail. 2031 McKinley, worked for the Illuminati company. That is the van which parked on Ennis I swiped and knocked the mirror off. 2031.
2025-12-18T16:14:30.828835+00:00|28 10-4.
2025-12-18T16:16:49.900290+00:00|28 10-7.
2025-12-18T16:17:22.657395+00:00|209. That's 24.
2025-12-18T16:17:26.104332+00:00|211.
2025-12-18T16:17:31.251761+00:00|Thanks Joanna.
2025-12-18T16:17:34.455601+00:00|24.
2025-12-18T16:17:39.886713+00:00|9-24-19 for a warrant. Pick up.
2025-12-18T16:17:43.865140+00:00|9-1-1.
2025-12-18T16:17:47.098210+00:00|25
2025-12-18T16:18:50.241140+00:00|This is Medic 3. Medic 3 to Ravine at Fairview.
2025-12-18T16:18:52.937704+00:00|Cut there.
2025-12-18T16:36:45.236163+00:00|26 and 229.
2025-12-18T16:36:49.233197+00:00|26
2025-12-18T16:37:12.924493+00:00|Get-Go 14013 Detroit. Large group of juveniles inside of Get-Go refusing to leave. They've asked them multiple times. You're giving him a hard time. 114-13 Detroit, the get-go.
2025-12-18T16:37:18.377347+00:00|26 copy.
2025-12-18T16:37:22.407566+00:00|29 10-4. Clifton 117.
2025-12-18T16:41:08.780872+00:00|26 I'm 10-7.
2025-12-18T16:42:07.383740+00:00|29 you can show us out.
2025-12-18T16:42:11.429691+00:00|10-4.
2025-12-18T16:45:18.531964+00:00|202. 227
2025-12-18T16:45:22.770091+00:00|I'll see you at 2.
2025-12-18T16:45:27.577120+00:00|27
2025-12-18T16:45:46.701564+00:00|Newman in Madison. Male said he was hit by a car. Car continued. Down Newman. Last saw heading towards West 117th. All you can tell me is it's a silver, newer car.
2025-12-18T16:45:51.438947+00:00|to copy Clifton 117th.
2025-12-18T16:45:55.778412+00:00|Flight from the station.
2025-12-18T16:47:00.236796+00:00|12 and 27. He's saying he thinks it may be a silver TA. He said he thinks it keeps driving by.
2025-12-18T16:47:24.633037+00:00|silver SUV he's saying. refusing medical treatment also. He said he flew up onto the hood of the car.
2025-12-18T16:47:28.225805+00:00|Is the vehicle still there?
2025-12-18T16:48:00.887169+00:00|The vehicle left. Jailer saw it. Added towards 117. He said now I believe that he's circling the area. I'm trying to get where he left off now.
2025-12-18T16:48:02.680900+00:00|Copy.
2025-12-18T16:48:20.423033+00:00|Dispatch from car 10.
2025-12-18T16:48:24.042307+00:00|Car 10.
2025-12-18T16:48:30.612457+00:00|featuring on a public service call 1382 Cranford.
2025-12-18T16:48:36.913970+00:00|10-3.
2025-12-18T16:50:05.635442+00:00|and 2 he just hung up on me so. He should be right there by the car washing ton.
2025-12-18T16:50:13.475339+00:00|10-4.
2025-12-18T16:52:31.572670+00:00|to a 2. Apparently this occurred 45 minutes ago.
2025-12-18T16:52:47.224937+00:00|10-4.
2025-12-18T16:53:08.289055+00:00|29. 26 is all set. Can we be out of turn list?
2025-12-18T16:53:12.869523+00:00|You can go.
2025-12-18T16:53:25.284869+00:00|Thank you.
2025-12-18T16:53:27.185970+00:00|26
2025-12-18T16:53:31.976615+00:00|Juveniles have left the premise and were advised not to return today. Units will be 10-8.
2025-12-18T16:55:16.263492+00:00|Dispatch Medic 3. Medic 3's back in the city of service.
2025-12-18T16:55:18.290290+00:00|Thank you.
2025-12-18T16:55:50.835511+00:00|29
2025-12-18T16:55:56.718405+00:00|29
2025-12-18T16:56:00.052504+00:00|Disregard.
2025-12-18T16:56:05.844786+00:00|10-4.
2025-12-18T16:59:08.986525+00:00|328
2025-12-18T16:59:12.517754+00:00|28. Bye.
2025-12-18T16:59:20.885962+00:00|will you change your location to 2033 McKinley and I'll be 10-8 with a separate.
2025-12-18T16:59:23.870977+00:00|Traffic.
2025-12-18T17:01:00.668440+00:00|See you later.
2025-12-18T17:01:18.926816+00:00|and Beale.
2025-12-18T17:02:45.703273+00:00|Attention Occupants, 17012 Delaware 62-year-old female fell. Son said she couldn't tell him how long she was down and she seems disoriented. 17012 Delaware, Medic 2.
2025-12-18T17:02:47.276790+00:00|You can go.
2025-12-18T17:03:19.601815+00:00|Dispatch from Car 10.
2025-12-18T17:03:21.698539+00:00|Bye.
2025-12-18T17:03:26.752266+00:00|Please throw me back in service.
2025-12-18T17:03:30.364913+00:00|Car passing.
2025-12-18T17:04:43.585945+00:00|Thank you, sir.
2025-12-18T17:07:12.076097+00:00|29 we've been telephoned.
2025-12-18T17:07:13.747619+00:00|10-7. 12 I'm closer. You can go.
2025-12-18T17:08:09.537739+00:00|Medic please help.
2025-12-18T17:08:14.023271+00:00|Make sure.
2025-12-18T17:22:44.548432+00:00|Medic to dispatch, we're going to be transporting to Fairview.
2025-12-18T17:23:01.080106+00:00|209
2025-12-18T17:23:12.844666+00:00|We're 10-7 if you could please give this call to order and advise.
2025-12-18T17:29:23.957668+00:00|I'm going to keep this bench. You can show us how to preview.
2025-12-18T17:29:40.716470+00:00|Medic 2, I copy. You're okay.
2025-12-18T17:35:17.877628+00:00|237
2025-12-18T17:35:22.134920+00:00|312
2025-12-18T17:35:26.291308+00:00|See you in 21.
2025-12-18T17:35:28.764946+00:00|24
2025-12-18T17:37:45.818042+00:00|209
2025-12-18T17:37:54.247391+00:00|10-8. Can I be heard for the lowest voice?
2025-12-18T17:38:04.234821+00:00|No, you can go.
2025-12-18T17:38:07.494502+00:00|I copy.
2025-12-18T17:39:22.029084+00:00|9. I'm 10-7.
2025-12-18T17:40:24.327185+00:00|225.
2025-12-18T17:40:30.097263+00:00|24
2025-12-18T17:40:37.693521+00:00|We're on another warrant. Pick up at Bucanight Street, please.
2025-12-18T17:40:40.962887+00:00|10-4.
2025-12-18T17:43:50.578402+00:00|227. Entering in 10-8.
2025-12-18T17:44:01.406344+00:00|in 2017 year 19.
2025-12-18T17:44:04.518820+00:00|Go.
2025-12-18T17:44:22.440882+00:00|20. Can I go on notice please?
2025-12-18T17:44:31.702816+00:00|10-4, thanks. I'll be stopping to make a quick note.
2025-12-18T17:44:35.707665+00:00|Copy.
2025-12-18T17:48:18.696649+00:00|217th. Medic on the list.
2025-12-18T17:48:33.327290+00:00|10-7. Thank you.
2025-12-18T17:48:37.376275+00:00|10-4.
2025-12-18T17:51:02.145353+00:00|Thank you. Dismatch.
2025-12-18T17:51:15.294814+00:00|You can show us. Back in service. Back in the seat.
2025-12-18T17:51:17.265688+00:00|Copy.
2025-12-18T17:51:51.252094+00:00|Thank you. Dismatch.
2025-12-18T17:52:11.453520+00:00|Just to let you know that there is a vehicle broken down. Northbound Riverside at Hilliard. In the left-hand turn lane.
2025-12-18T17:52:40.766649+00:00|Dispatch Medic 2, do you know what kind of car it is or what it looks like?
2025-12-18T17:52:48.729388+00:00|It's a white Chevy. It looks like probably early 2000s.
2025-12-18T17:52:52.424617+00:00|10-4.
2025-12-18T17:53:06.274499+00:00|I believe it was a Malibu.
2025-12-18T17:53:15.663920+00:00|I copy. Thank you.
sqlite> 
